C12	C	3755618
C13	C	3218006
C14	C	9155338
C15	C	2769604
C16	C	3744943
C17	C	1665563
C18	C	2240124
C19	C	2864092
C20	C	2242128
C21	C	2586714
C22	C	2206372
C23	C	1793620
C24	C	1525535
C25	C	3354955
C26	C	1604290
C27	C	1630287
C28	C	1674537
C29	C	2052344
C30	C	1841167
C31	C	2563623
C32	C	2388756
C33	C	1903703
A1	F	869660
A2	F	846590
A4	F	684351
A6	F	1788520
A9	F	1514306
A10	F	1017164
A11	F	3296056
A12	F	877243
A13	F	1278732
A15	F	2041966
A16	F	880904
A17	F	790902
A18	F	783841
A19	F	1307641
A21	F	989425
A22	F	2428476
A24	F	960062
A25	F	1488785
A26	F	803861
A27	F	984676
A28	F	1443677
A29	F	825575
A30	F	846599
A31	F	2401649
A32	F	396286
A33	F	1122583
A34	F	1172073
A35	F	1081201
A36	F	2876009
A37	F	2109790
A38	F	2372202
A39	F	2361473
A41	F	879548
A42	F	629981
A43	F	1512740
A44	F	1438324
A45	F	1084504
A46	F	2750599
A47	F	1147075
A48	F	1042674
A49	F	2109751
A50	F	1178656
A51	F	1102821
A52	F	2193855
A53	F	1823093
A54	F	541150
A55	F	755935
A56	F	1051089
A57	F	1263908
A58	F	884831
A59	F	835773
A60	F	736673
A61	F	770408
A62	F	604932
A63	F	860365
A64	F	910827
A66	F	1286208
A67	F	962804
A68	F	943469
A69	F	1021161
A70	F	1064380
A71	F	1552293
A72	F	874754
A73	F	1674213
A75	F	775431
A77	F	1106463
A78	F	756396
A79	F	921833
B1	F	4379054
B2	F	2313601
B4	F	3016064
B5	F	1923154
B7	F	1445679
B8	F	2135277
B9	F	6229306
B10	F	5003367
B11	F	2537159
B12	F	1195137
B13	F	2148580
B14	F	1464032
B15	F	4153036
B16	F	2527366
B17	F	1784949
B18	F	2394065
B20	F	2534099
B22	F	2447136
B23	F	1894866
B24	F	803542
B25	F	1570538
B26	F	2225780
B27	F	2126903
B28	F	1678666
B29	F	1197020
B30	F	4211197
B31	F	2188896
B32	F	3757177
B33	F	2205701
B34	F	2957506
B36	F	4263427
B37	F	4226835
B38	F	427413
B39	F	1339737
B40	F	1486674
B41	F	1885000
B42	F	1218934
B43	F	2402066
B44	F	1616183
B45	F	1186481
B46	F	1907446
B47	F	1615431
B48	F	1976882
B49	F	2591578
B50	F	1737267
B52	F	1244167
B55	F	1484827
B56	F	2594968
B57	F	2065157
B58	F	2334744
B61	F	3035266
B62	F	1942989
B63	F	1461370
B65	F	1166408
B66	F	1984960
B67	F	872306
B68	F	2262837
B69	F	1310530
B70	F	2181557
B71	F	1849920
B72	F	882304
B73	F	835235
B74	F	3053483
B75	F	1902524
B76	F	1183589
B77	F	1476082
B78	F	1322824
B79	F	1988114
C1	F	4458690
C2	F	4473731
C3	F	4454518
C4	F	3546691
C5	F	2045963
C6	F	2219758
C8	F	4592960
C9	F	4285250
C10	F	3587426
C11	F	3395651
C12	F	3529633
C13	F	2855710
C14	F	9108360
C15	F	2584213
C16	F	3483476
C17	F	1592953
C18	F	2126691
C19	F	2734717
C20	F	2114108
C21	F	2239916
C22	F	2096587
C23	F	1612770
C24	F	1455265
C25	F	3187290
C26	F	1449457
C27	F	1459083
C28	F	1588121
C29	F	1875903
C30	F	1773036
C31	F	2389159
C32	F	2287921
C33	F	1734071
A1	G	826797
A2	G	801526
A4	G	637400
A6	G	1603003
A9	G	1371924
A10	G	883082
A11	G	3259159
A12	G	799427
A13	G	1185566
A15	G	1987752
A16	G	763163
A17	G	704418
A18	G	751841
A19	G	1202167
A21	G	863880
A22	G	2369449
A24	G	868878
A25	G	1367677
A26	G	726407
A27	G	914555
A28	G	1349103
A29	G	742919
A30	G	798024
A31	G	2364302
A32	G	379698
A33	G	1058818
A34	G	1098466
A35	G	1017717
A36	G	2710180
A37	G	1935981
A38	G	2344171
A39	G	2163469
A41	G	795142
A42	G	596093
A43	G	1469109
A44	G	1282100
A45	G	1053572
A46	G	2376367
A47	G	1082813
A48	G	1002406
A49	G	2040039
A50	G	1115671
A51	G	1045051
A52	G	2059881
A53	G	1645350
A54	G	522734
A55	G	719902
A56	G	891804
A57	G	1215486
A58	G	817900
A59	G	800831
A60	G	686558
A61	G	719685
A62	G	581744
A63	G	768825
A64	G	841622
A66	G	1208269
A67	G	919170
A68	G	885346
A69	G	822559
A70	G	974207
A71	G	1289072
A72	G	833305
A73	G	1478088
A75	G	741713
A77	G	1050071
A78	G	728207
A79	G	870709
B1	G	4013018
B2	G	1918270
B4	G	2407838
B5	G	1794226
B7	G	1349594
B8	G	1924230
B9	G	5646814
B10	G	4747209
B11	G	1740433
B12	G	1086552
B13	G	2002808
B14	G	1386766
B15	G	3581651
B16	G	1950468
B17	G	1699807
B18	G	2134547
B20	G	2005540
B22	G	2072910
B23	G	1764480
B24	G	764820
B25	G	1480314
B26	G	1639037
B27	G	1885137
B28	G	1562756
B29	G	1132991
B30	G	3525364
B31	G	2113156
B32	G	3604327
B33	G	1670857
B34	G	2720670
B36	G	4156745
B37	G	4058048
B38	G	410765
B39	G	1305473
B40	G	1391770
B41	G	1704262
B42	G	1081257
B43	G	2149078
B44	G	1337696
B45	G	1123430
B46	G	1716230
B47	G	1517786
B48	G	1886954
B49	G	2396230
B50	G	1643279
B52	G	1030451
B55	G	1307939
B56	G	2383380
B57	G	1854975
B58	G	2038070
B61	G	2669197
B62	G	1812123
B63	G	1232930
B65	G	1111376
B66	G	1818287
B67	G	806890
B68	G	1932442
B69	G	1140997
B70	G	1951413
B71	G	1749619
B72	G	795361
B73	G	739373
B74	G	2825113
B75	G	1564028
B76	G	1099026
B77	G	1397533
B78	G	1178070
B79	G	1892892
C1	G	3772530
C2	G	3973293
C3	G	4294716
C4	G	3414124
C5	G	1963305
C6	G	2018197
C8	G	4191338
C9	G	4038984
C10	G	3044001
C11	G	3069640
C12	G	2706865
C13	G	2732932
C14	G	7851493
C15	G	2337359
C16	G	3220317
C17	G	1320941
C18	G	2062659
C19	G	2222989
C20	G	1931864
C21	G	1982969
C22	G	1856834
C23	G	1434540
C24	G	1400502
C25	G	2586951
C26	G	1359071
C27	G	1377886
C28	G	1466917
C29	G	1762757
C30	G	1581034
C31	G	1993071
C32	G	2083665
C33	G	1579236
A1	O	900608
A2	O	873516
A4	O	713797
A6	O	1843859
A9	O	1617261
A10	O	1100759
A11	O	3373773
A12	O	927696
A13	O	1359980
A15	O	2172700
A16	O	911705
A17	O	829040
A18	O	819116
A19	O	1479570
A21	O	1066477
A22	O	2552779
A24	O	1007745
A25	O	1555126
A26	O	886219
A27	O	1052297
A28	O	1529699
A29	O	879580
A30	O	958721
A31	O	2476918
A32	O	459336
A33	O	1161734
A34	O	1239518
A35	O	1155704
A36	O	2993966
A37	O	2193853
A38	O	2435533
A39	O	2440557
A41	O	943669
A42	O	677634
A43	O	1587997
A44	O	1476642
A45	O	1146921
A46	O	2846013
A47	O	1238136
A48	O	1095551
A49	O	2226472
A50	O	1267889
A51	O	1145302
A52	O	2285210
A53	O	1882333
A54	O	587433
A55	O	815296
A56	O	1119180
A57	O	1366460
A58	O	981245
A59	O	878977
A60	O	783444
