ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Nitrospinae	8	11	90	13	6	27	49	51	16	40	3	80	13	19	36	16	44	137	52	25	46	14	96	1	28	16	31	78	21	19	16	54	56	120	29	27	70	24	17	28	108	49	144	37	23	13	19	25	8	11	99	106	9	20	29
Candidatus Tectomicrobia	4	9	22	1	0	2	33	7	5	7	0	71	14	0	9	5	19	3	19	10	0	3	15	0	6	5	5	0	2	0	1	2	4	1	5	1	9	0	2	7	19	16	24	14	5	1	6	2	0	3	25	21	5	2	6
Caldiserica	2	0	6	3	0	6	17	9	1	3	0	50	3	6	0	1	5	3	5	3	9	0	3	0	2	7	4	2	2	0	3	4	1	1	2	1	4	1	1	0	23	3	7	3	3	1	2	4	0	7	1	7	0	2	0
Candidatus Cryosericota	3	0	4	0	0	64	7	4	1	8	0	3	1	0	2	18	9	5	3	3	0	1	6	0	1	2	4	82	1	3	2	3	8	0	0	0	5	3	2	5	3	1	5	23	4	2	1	0	0	0	2	6	0	1	1
Candidatus Bipolaricaulota	2	6	44	0	0	20	32	22	7	8	0	64	11	0	5	2	27	5	21	24	29	4	23	0	10	9	15	10	6	4	8	23	25	1	3	5	19	2	2	4	29	22	57	18	4	2	24	7	2	5	21	10	1	5	8
Candidatus Aminicenantes	15	35	270	5	1	53	98	36	14	57	63	156	78	7	24	17	158	45	96	72	163	23	73	4	109	35	70	43	37	10	120	127	65	72	17	32	133	30	46	52	143	139	193	89	58	44	109	75	12	36	157	120	54	56	50
Candidatus Atribacteria	10	8	25	8	4	43	34	22	6	23	2	33	7	26	7	5	18	40	13	7	32	3	125	9	45	13	8	23	6	0	29	8	138	19	23	8	19	6	19	29	22	24	23	12	11	7	25	6	0	8	24	38	49	10	40
Candidatus Saccharibacteria	50	330	147	97	72	387	211	135	206	145	106	225	187	344	333	38	100	370	127	60	185	520	139	39	338	175	159	150	131	274	254	322	136	175	468	15	130	257	232	170	211	415	128	1747	56	438	141	140	163	72	85	519	121	227	237
Candidatus Sumerlaeota	0	0	8	0	0	12	7	1	1	4	1	7	9	0	11	13	28	4	1	1	1	2	36	1	8	1	5	51	2	0	0	1	10	0	2	0	1	2	5	20	1	12	30	6	3	1	1	4	0	0	6	3	0	2	2
Candidatus Poribacteria	28	9	41	12	6	52	53	65	22	96	11	47	42	10	14	26	49	67	19	24	17	85	110	40	56	20	14	49	16	13	36	32	59	28	13	198	40	15	74	89	62	57	74	50	13	67	79	93	8	4	68	164	19	14	48
candidate division WWE3	10	14	30	12	4	9	24	30	5	11	2	27	7	12	2	3	17	9	6	11	14	6	15	5	27	7	9	45	6	4	11	10	53	11	15	5	11	19	9	8	22	21	39	18	3	34	33	23	15	22	31	23	10	13	8
candidate division NC10	0	2	14	1	1	0	9	4	5	8	1	7	1	2	0	2	3	4	6	10	11	0	5	1	3	1	0	12	2	6	0	4	4	0	3	4	19	2	0	8	5	5	10	11	1	2	1	5	3	4	16	12	7	0	5
Candidatus Calescamantes	0	0	0	0	0	2	9	0	2	1	0	7	0	0	0	0	2	3	0	0	0	0	1	0	0	0	5	0	0	0	1	0	3	2	1	0	0	0	0	0	1	1	3	0	0	0	0	0	0	1	1	2	1	0	0
Candidatus Berkelbacteria	170	7	27	2	3	33	29	5	2	77	3	21	23	2	9	20	30	14	6	2	8	4	36	3	27	8	10	92	11	17	2	13	16	9	21	5	10	5	55	48	13	19	57	76	9	11	12	2	2	8	13	38	3	4	9
candidate division CPR1	0	0	0	1	0	0	5	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
candidate division CPR2	1	2	0	0	0	2	2	25	0	2	1	1	0	1	0	1	0	0	0	1	0	0	7	0	37	0	1	7	0	0	0	1	25	0	0	1	3	2	0	2	5	1	2	1	0	2	4	0	0	1	2	6	1	2	3
candidate division CPR3	1	1	0	1	0	0	0	1	0	2	0	0	1	0	0	4	4	0	0	1	0	0	0	1	0	0	2	2	1	0	0	0	0	1	0	2	4	1	1	0	1	6	3	2	0	2	3	0	0	1	2	9	0	0	0
Candidatus Peregrinibacteria	4	19	56	21	5	90	61	34	30	66	4	67	42	8	8	20	63	39	38	20	20	166	173	13	162	36	48	81	17	17	68	40	44	56	18	17	39	24	27	30	53	56	94	67	23	108	57	26	14	23	90	167	6	27	23
candidate division WOR-3	6	17	57	41	1	15	23	29	14	14	1	92	24	8	27	3	21	25	22	49	26	16	27	4	41	36	15	9	12	2	26	8	45	20	34	18	19	17	69	26	29	76	81	16	5	8	14	21	7	9	36	30	28	7	37
Candidatus Rokubacteria	77	67	329	60	10	95	344	130	37	122	51	416	152	15	71	62	439	106	354	183	155	60	195	9	176	98	260	96	93	58	75	206	145	103	27	76	321	44	43	90	544	318	1000	204	121	33	104	116	43	36	347	191	127	206	113
Candidatus Dadabacteria	1	9	25	3	17	21	19	33	7	9	1	18	11	7	3	4	18	6	17	3	8	3	29	10	7	1	4	7	5	0	5	28	126	16	5	0	7	4	2	29	29	14	59	14	4	5	2	11	5	10	13	29	7	4	11
Candidatus Abawacabacteria	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Candidatus Coatesbacteria	0	4	25	0	0	1	3	0	1	1	0	10	0	0	1	1	16	8	9	4	11	0	2	0	7	1	0	0	4	0	4	8	3	1	2	0	3	0	8	0	7	4	4	5	0	0	1	2	0	0	20	4	13	12	1
Candidatus Delongbacteria	1	0	3	0	0	1	12	0	0	6	0	7	0	0	5	0	3	1	1	0	1	0	7	0	1	0	1	99	0	0	1	0	6	0	12	1	0	2	0	9	9	1	13	1	1	4	0	2	3	0	2	4	2	1	8
Candidatus Doudnabacteria	1	0	8	1	0	18	17	2	0	12	2	13	8	2	41	14	25	37	8	5	2	38	17	1	17	20	4	11	9	0	35	4	11	20	2	1	5	2	9	72	7	76	16	6	2	10	3	2	2	0	44	31	19	5	31
Candidatus Edwardsbacteria	0	2	11	3	0	8	2	4	0	0	0	2	1	0	0	0	2	0	1	0	0	0	18	2	0	0	0	0	0	1	0	2	2	4	3	1	0	0	0	0	3	1	9	2	3	0	26	2	2	0	0	3	0	3	2
