ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Tremellomycetes	117	174	707	180	166	861	639	368	329	686	91	1081	455	349	335	238	800	529	483	398	640	186	653	74	943	414	538	523	292	61	741	650	882	768	133	154	487	126	851	659	867	852	1560	1033	262	395	601	369	96	93	901	638	245	274	438
Agaricomycetes	920	1060	3074	1550	408	4236	3167	2120	1244	3068	298	3983	2818	778	2476	1377	3433	2718	2053	1811	3611	4130	4122	626	4614	1719	1582	4566	1047	485	4405	2509	3162	3639	841	830	2236	737	5116	3461	3170	4534	5071	3180	1187	3312	3101	2061	721	1014	3894	4825	1248	1289	2205
Dacrymycetes	3	5	23	5	23	64	35	15	112	5	1	37	18	5	804	6	28	35	40	22	88	2	41	1	18	4	3	36	6	2	71	19	9	207	20	6	21	4	20	2	44	21	55	35	16	192	104	13	0	1	38	429	5	17	8
Agaricostilbomycetes	1	0	10	0	0	52	3	4	2	1	0	29	5	0	4	8	6	0	6	0	4	101	15	0	24	108	3	14	2	1	42	5	2	1	0	0	3	2	0	8	6	4	8	11	2	20	11	0	1	1	2	66	0	0	3
Microbotryomycetes	26	51	162	15	2	154	200	69	33	181	21	322	169	32	30	33	260	135	215	81	146	84	113	16	153	45	160	134	88	14	36	115	135	57	48	50	159	32	201	158	200	220	516	137	78	50	481	141	30	27	239	170	62	100	115
Pucciniomycetes	265	477	914	436	197	2177	1409	697	683	2316	524	1103	988	675	1197	406	952	1064	384	720	1260	2089	1788	446	2206	1094	438	1726	482	273	1844	794	1586	1330	629	375	804	541	2249	1616	913	1680	1267	1163	686	1794	1483	1226	262	332	1113	2227	1340	297	1096
Cystobasidiomycetes	6	15	37	18	6	13	43	51	10	10	5	59	39	4	20	31	51	32	33	14	23	32	36	1	72	26	16	72	7	6	24	36	23	34	13	5	11	2	42	27	67	62	63	42	16	61	8	30	3	4	40	34	3	21	33
Mixiomycetes	0	0	3	17	0	1	7	0	0	2	11	1	1	1	0	0	2	1	3	4	0	0	5	4	12	10	0	1	0	0	0	1	25	13	0	0	0	3	3	1	0	2	3	5	1	0	0	2	0	0	3	5	6	1	0
Ustilaginomycetes	116	29	130	30	30	196	252	78	11	175	8	247	152	13	158	62	175	153	165	52	455	297	161	6	152	51	82	173	172	20	78	61	87	267	30	31	81	39	679	185	126	645	316	191	62	225	129	70	29	22	214	255	40	50	99
Exobasidiomycetes	21	64	114	31	12	213	132	118	50	143	13	165	70	21	50	115	126	107	104	39	193	89	301	27	88	106	68	151	31	14	176	134	86	85	26	38	75	43	226	111	171	331	255	104	39	100	44	130	14	17	120	98	59	65	43
Malasseziomycetes	14	33	125	13	5	77	89	147	17	104	337	201	40	8	15	17	123	82	94	63	183	16	63	9	50	54	81	45	26	13	29	144	67	53	15	17	77	25	86	112	113	125	362	106	96	68	116	123	16	12	65	86	62	37	70
Wallemiomycetes	2	7	22	0	0	6	0	4	0	133	0	4	2	3	2	0	3	1	2	0	9	0	1	0	11	11	1	0	1	0	2	10	1	6	0	0	2	0	1	1	8	10	11	4	17	1	4	113	4	2	8	7	2	9	3
Geminibasidiomycetes	4	4	15	1	0	6	12	16	0	4	1	25	24	4	48	1	11	13	6	6	13	147	5	3	3	5	6	9	8	0	2	10	8	17	0	22	6	3	0	0	10	36	36	20	4	4	8	14	0	1	31	10	3	15	4
Gammaproteobacteria	14565	34254	25741	29554	21813	222744	2066877	28637	216443	130361	21187	293404	610931	46694	107418	887273	83407	162925	168372	31860	107921	136121	66108	9789	249984	156866	133557	955479	955581	1025680	185196	30207	25333	189954	81753	54845	33519	11412	237663	423376	160844	260075	100123	120557	20809	524767	223803	303526	77110	275742	423371	297707	117113	28194	537996
Alphaproteobacteria	21251	4482	18057	9093	672	9687	12145	20002	2165	11883	1516	20483	12497	1086	5992	4299	17225	12440	13748	7539	9063	6113	9902	983	52399	63122	9954	11009	5766	1841	8711	54022	8835	7610	4247	12737	26288	2168	22407	16582	19273	34326	36469	12400	7767	6727	21262	7363	6123	2193	13468	14853	5538	16037	8792
Betaproteobacteria	5009	26209	55559	49125	687	40661	8854	146832	68857	65626	34063	33263	70771	47825	73775	9029	103722	51685	84175	37912	58764	71080	9111	39956	95915	72702	105185	13186	96757	231674	15819	97317	6404	32628	5615	14482	10613	160663	68315	15750	13397	99346	29459	119786	79649	73603	142659	27866	149343	64416	11355	56963	50128	42779	9595
Zetaproteobacteria	40	31	41	5	78	24	42	65	11	42	5	117	15	11	15	21	57	34	40	20	21	6	32	2	103	20	27	72	16	6	38	23	92	20	10	13	36	4	100	73	28	58	102	72	11	15	16	41	12	29	79	50	28	43	43
Oligoflexia	30	48	197	56	20	220	134	142	32	119	12	161	68	51	50	43	192	167	60	101	96	30	327	43	224	175	46	187	43	14	130	100	121	127	96	39	87	55	168	151	128	215	272	146	83	163	115	88	30	78	241	228	50	78	163
Acidithiobacillia	7	16	55	4	1	34	65	29	6	70	1	54	28	6	5	9	40	20	33	33	35	1	41	9	38	10	32	15	12	2	32	32	29	20	17	11	46	10	24	11	125	49	88	48	23	12	5	36	3	11	48	35	25	31	13
Candidatus Lambdaproteobacteria	1	0	4	1	0	0	2	4	2	1	3	5	1	1	0	4	4	10	6	5	0	1	8	0	9	2	0	4	1	1	1	6	0	3	0	1	5	1	1	1	24	10	6	4	9	1	4	3	0	3	17	9	2	3	0
Candidatus Muproteobacteria	13	12	50	5	0	7	16	16	1	13	2	44	9	1	61	3	80	3	25	6	9	3	14	0	16	10	18	6	19	5	5	27	15	28	14	6	12	1	5	8	46	52	77	24	7	3	13	8	8	5	26	17	12	29	17
Hydrogenophilalia	13	24	61	6	5	38	44	28	9	97	9	100	26	5	11	12	68	90	79	41	13	11	38	6	31	15	25	17	14	8	16	33	27	23	15	14	48	10	13	11	75	88	125	60	20	28	29	46	13	5	48	65	33	37	30
Deltaproteobacteria	1254	15974	44948	30686	258	23671	35732	36592	6636	32277	26660	48726	14577	720	22879	14007	98855	21741	181945	16913	21665	10152	17193	35620	84204	17076	45154	3549	15513	23985	8445	32251	3128	30822	1324	7149	4574	24557	3199	2226	6996	36664	36015	37643	7566	10289	22154	46960	170005	68455	43361	30105	20707	29807	10894
