ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Microascales	69	95	248	310	39	281	580	288	185	241	32	420	236	94	213	306	329	233	197	170	470	306	380	70	437	167	203	972	114	59	194	403	333	432	80	250	440	104	430	490	655	499	485	250	152	370	358	206	42	75	419	427	224	107	213
Coronophorales	730	1091	3580	1012	295	2594	3569	1999	811	2697	222	6295	2183	309	956	1063	4346	2720	3532	2009	3158	1936	2866	224	2856	1356	2554	2646	1485	539	2044	2553	2769	1933	688	1090	3135	509	2722	1911	5049	7270	8622	3108	1286	1860	2355	2139	524	572	3428	3595	1760	1975	1622
Glomerellales	255	233	784	1161	76	1072	710	458	192	900	171	973	462	221	363	260	741	726	384	402	1228	529	847	118	1128	399	369	880	217	237	1180	388	1038	1014	312	468	498	179	1042	799	744	1213	1170	804	269	883	661	597	247	116	757	1002	353	268	515
Diaporthales	39	117	324	66	36	275	393	236	127	211	53	332	203	96	119	97	293	156	273	174	275	149	270	65	188	271	204	272	105	67	197	172	282	281	76	74	237	94	221	236	348	246	459	190	103	235	362	245	39	419	271	395	129	128	151
Phyllachorales	1	2	9	12	0	10	7	4	85	2	6	38	17	11	3	6	14	3	5	4	4	2	5	2	28	4	13	17	1	0	8	4	8	4	1	2	10	0	45	36	5	19	34	32	2	2	5	5	0	2	7	13	1	3	12
Sordariales	242	317	1388	870	90	1388	1448	846	488	1035	117	1968	1047	271	777	396	1529	1161	1279	1066	1716	902	1378	295	1474	644	694	1037	458	162	1177	958	1566	998	383	338	1017	322	1698	1413	1506	3573	2723	1451	690	1213	986	826	365	230	1405	1685	1038	578	896
Ophiostomatales	144	204	516	351	47	635	725	304	140	376	44	721	361	88	220	193	579	283	597	349	1082	650	540	24	562	176	353	809	216	62	428	327	576	459	72	270	868	93	420	400	812	649	1121	641	254	452	455	364	79	141	531	642	247	301	311
Coniochaetales	4	9	22	8	7	69	48	39	6	101	7	51	74	6	27	5	107	70	29	60	161	105	80	2	47	13	24	82	9	5	121	35	23	61	11	22	35	24	136	46	51	146	92	96	14	72	167	27	10	5	76	89	31	12	44
Magnaporthales	48	115	367	56	24	264	213	190	75	221	17	417	243	44	256	55	302	201	296	112	177	190	271	22	426	124	303	249	128	23	204	165	196	295	106	52	282	77	296	251	329	295	555	212	121	348	392	208	25	85	310	401	115	103	144
Togniniales	3	8	9	8	0	7	18	8	2	21	4	29	5	3	1	0	26	96	9	6	16	2	18	3	12	3	3	3	5	2	19	9	23	0	3	5	26	0	2	2	8	13	47	43	1	3	0	30	0	0	16	6	7	12	4
Xylariales	231	253	444	355	94	947	695	436	283	520	57	844	460	318	509	180	602	661	330	324	606	580	689	112	888	493	230	676	200	154	877	326	802	1057	236	329	604	262	850	548	484	871	1007	599	335	717	487	403	312	159	715	1045	824	213	425
Herpomycetales	0	1	7	54	0	23	6	10	2	5	0	15	3	1	3	4	7	4	2	57	7	0	8	1	1	2	3	65	4	4	2	0	10	1	0	0	0	0	1	13	3	3	2	2	3	38	0	2	1	2	0	2	3	0	4
Tremellales	30	64	136	65	73	335	265	160	71	185	10	319	198	275	168	85	260	247	121	144	161	98	233	45	491	90	91	209	147	13	311	104	244	256	59	57	82	30	433	221	176	253	477	214	67	170	310	127	28	42	293	222	87	48	173
Cystofilobasidiales	7	10	16	1	1	8	7	24	76	4	0	16	10	15	2	12	30	5	9	27	8	1	14	10	53	6	7	7	7	0	11	20	27	24	2	4	11	2	15	21	24	15	41	60	6	28	7	9	2	0	12	26	3	5	6
Filobasidiales	2	2	22	4	1	16	42	13	7	18	0	51	28	9	15	25	52	23	19	5	17	4	32	4	17	9	27	65	7	3	14	119	34	10	10	4	15	4	6	14	36	26	43	20	13	4	6	43	3	1	19	15	6	18	21
Holtermanniales	4	0	16	1	2	24	6	6	6	4	0	22	14	0	1	4	11	57	21	4	8	5	6	1	36	6	17	2	9	0	3	4	1	3	0	4	4	4	0	2	11	26	46	16	10	3	5	3	1	3	17	23	12	4	2
Trichosporonales	74	98	516	109	89	478	318	164	168	474	81	673	204	50	149	112	446	196	313	217	446	78	368	14	344	302	395	239	121	45	402	402	576	474	62	85	374	86	397	400	619	531	952	722	166	190	273	187	62	47	560	352	137	198	236
Auriculariales	11	20	136	32	0	36	55	51	57	57	2	94	66	11	23	19	84	64	71	39	51	107	67	9	107	20	71	62	42	5	55	65	76	25	21	18	69	10	49	67	175	53	236	74	35	25	72	47	12	16	113	146	38	21	47
Polyporales	102	148	494	180	55	486	420	228	336	503	46	654	331	39	576	138	535	604	475	218	281	318	445	36	511	211	215	460	177	83	568	346	497	332	86	108	339	75	710	333	472	748	1039	449	127	330	327	249	68	119	478	530	133	165	246
Cantharellales	83	90	243	48	40	300	299	150	149	297	17	358	210	39	75	108	262	193	166	174	351	271	394	51	403	104	149	374	137	44	285	245	204	305	41	67	214	63	483	381	377	350	445	162	74	187	304	140	54	108	299	436	106	98	212
Thelephorales	0	8	8	5	1	34	21	12	9	22	1	31	6	5	4	0	10	9	3	4	4	3	16	9	19	81	6	5	4	30	11	6	4	10	27	7	26	12	24	36	12	7	39	28	16	2	18	26	1	6	42	17	12	11	26
Hymenochaetales	43	18	56	13	12	137	53	41	5	81	2	91	50	38	17	14	72	65	25	27	135	158	110	13	153	24	22	74	13	3	224	86	52	218	9	21	38	14	50	37	40	68	104	58	42	75	40	69	66	11	50	181	14	19	24
Sebacinales	3	18	14	18	0	36	27	63	27	54	3	25	3	2	11	22	17	8	5	7	6	1	48	0	49	19	3	100	16	4	48	12	49	192	11	1	22	9	113	44	20	176	24	46	5	27	30	4	3	1	48	75	8	7	17
Corticiales	5	2	23	15	0	30	19	24	5	2	10	26	12	29	1	7	26	8	21	19	6	1	21	1	3	13	16	20	12	1	3	15	2	8	1	10	14	8	64	16	9	55	51	14	4	12	17	8	1	8	35	22	12	12	8
Gloeophyllales	4	9	22	12	1	14	17	13	20	72	3	39	47	1	6	15	26	27	7	9	33	12	19	0	16	7	14	20	3	4	49	14	218	28	0	3	17	6	83	29	19	82	31	18	12	14	5	21	4	0	37	34	12	16	24
Russulales	114	68	336	294	26	360	294	219	70	268	15	361	567	37	191	171	380	274	199	143	393	167	396	69	317	152	160	444	136	74	305	243	282	252	119	86	255	68	664	332	266	632	524	401	154	317	380	156	50	152	500	303	118	219	238
Trechisporales	2	8	21	0	0	6	48	3	19	3	5	9	9	1	3	3	4	13	12	0	10	2	9	0	9	3	19	5	2	5	12	15	0	4	7	1	2	2	35	1	3	10	1	4	6	7	23	4	11	20	14	6	0	6	1
Agaricales	400	413	1166	699	195	1987	1320	843	288	1089	125	1609	946	466	1001	554	1564	970	733	754	1866	1671	1555	289	2051	752	672	1917	340	160	1812	986	1226	1598	386	389	768	345	1859	1326	1122	1601	1760	1254	463	1628	907	926	384	385	1532	2134	486	531	856
Boletales	96	189	376	200	51	577	481	250	211	491	53	405	401	91	436	229	313	382	171	306	303	1061	718	31	782	223	129	794	124	52	868	324	405	531	80	86	288	90	600	502	498	499	568	419	163	490	731	281	47	111	469	661	212	138	271
Atheliales	8	11	69	13	13	75	25	24	9	48	2	49	54	4	35	34	45	35	70	56	30	5	83	10	40	15	55	123	17	8	22	104	46	19	7	12	63	14	113	72	55	132	133	44	37	66	25	76	14	13	75	70	18	12	76
Jaapiales	5	10	23	2	3	18	1	116	5	1	0	7	14	0	1	25	5	4	8	5	22	64	8	0	0	2	1	16	3	2	2	3	25	9	0	1	5	2	38	1	12	1	8	6	1	5	0	3	0	0	4	6	6	5	4
Amylocorticiales	4	3	21	1	2	1	6	11	2	7	0	11	17	6	0	2	9	5	8	7	9	0	3	100	20	3	29	28	11	1	3	3	5	1	0	5	28	2	47	58	28	9	6	3	2	1	91	2	1	1	17	16	14	11	36
Geastrales	32	2	11	4	2	11	13	17	12	15	6	32	8	2	1	2	8	21	51	14	55	3	26	0	14	5	14	12	2	6	6	19	12	31	6	2	25	6	15	6	11	29	15	18	11	1	4	14	1	7	30	31	10	1	31
Gomphales	5	41	51	11	6	124	66	51	18	55	7	177	72	7	92	32	69	33	26	26	52	282	200	7	115	84	6	107	7	2	129	19	56	73	38	10	60	10	164	218	48	78	82	178	32	121	123	31	2	55	147	152	45	16	85
Dacrymycetales	3	5	23	5	23	64	35	15	112	5	1	37	18	5	804	6	28	35	40	22	88	2	41	1	18	4	3	36	6	2	71	19	9	207	20	6	21	4	20	2	44	21	55	35	16	192	104	13	0	1	38	429	5	17	8
Agaricostilbales	1	0	10	0	0	52	3	4	2	1	0	29	5	0	4	8	6	0	6	0	4	101	15	0	24	108	3	14	2	1	42	5	2	1	0	0	3	2	0	8	6	4	8	11	2	20	11	0	1	1	2	66	0	0	3
Microbotryales	5	15	30	2	1	13	12	8	2	5	6	10	4	1	1	2	11	2	21	9	12	3	13	0	9	11	5	5	3	2	2	15	5	5	4	6	6	2	2	6	6	17	41	9	9	4	9	11	6	1	11	13	4	12	6
Leucosporidiales	2	2	26	3	0	22	13	9	3	7	1	32	32	2	6	8	46	20	51	8	9	4	9	9	19	7	11	25	5	2	9	10	68	2	3	7	37	8	44	5	8	83	27	9	6	5	135	61	6	4	84	30	2	14	8
