sample_name	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	awigen_id
bushbuckridge_108	human gut metagenome	Homo sapiens	Human stool	2018-10-06	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0269
bushbuckridge_109	human gut metagenome	Homo sapiens	Human stool	2018-09-15	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0743
bushbuckridge_110	human gut metagenome	Homo sapiens	Human stool	2018-10-07	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0808
bushbuckridge_111	human gut metagenome	Homo sapiens	Human stool	2018-10-07	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0278
bushbuckridge_112	human gut metagenome	Homo sapiens	Human stool	2018-10-07	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0381
bushbuckridge_113	human gut metagenome	Homo sapiens	Human stool	2018-10-07	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0945
bushbuckridge_114	human gut metagenome	Homo sapiens	Human stool	2018-09-22	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2336
bushbuckridge_115	human gut metagenome	Homo sapiens	Human stool	2018-09-21	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0566
bushbuckridge_116	human gut metagenome	Homo sapiens	Human stool	2018-09-21	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0548
bushbuckridge_117	human gut metagenome	Homo sapiens	Human stool	2018-09-21	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2539
bushbuckridge_118	human gut metagenome	Homo sapiens	Human stool	2018-09-21	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0126
soweto_1	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CAC0I
soweto_2	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CBX0G
soweto_3	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DIN0Q
soweto_4	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CGA0T
soweto_5	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CXX0A
soweto_6	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CEA0P
soweto_7	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DJQ0V
soweto_8	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CYY0D
soweto_9	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CCS0E
soweto_10	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DHA0A
soweto_11	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	NA
soweto_12	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DSI0F
soweto_13	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CXP0R
soweto_14	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CGS0M
