species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	site	rank
Oscillibacter sp. CAG:155	723.874419014377	-0.562723271530583	0.135353407585773	-4.1574370499242	3.21837918789199e-05	0.000147754407661244	Bushbuckridge	species
Oscillibacter sp. 1-3	782.361741892545	-0.552076085879813	0.136519944164544	-4.0439225877093	5.25642812020332e-05	0.00021853779924407	Bushbuckridge	species
Clostridiales bacterium 36_14	563.569809536596	-0.54905721755325	0.160190299485113	-3.42753100105337	0.000609096753094361	0.00177750831311672	Bushbuckridge	species
uncultured Prevotellaceae bacterium	122638.306600799	-0.540100422995587	0.330333903107589	-1.63501359659011	0.102046197380012	0.163005373183335	Bushbuckridge	species
Firmicutes bacterium AF19-2LB	2308.82670710231	-0.538098809336659	0.580489259893123	-0.926974616956274	0.353939713449417	0.45906283346965	Bushbuckridge	species
Lachnospiraceae bacterium UBA2886	806.929690502131	-0.537737521380941	0.328395041285636	-1.63747150162728	0.101531988849277	0.162611918816651	Bushbuckridge	species
Clostridium sp. AF24-2LB	375.457362688596	-0.529585290498145	0.369460129307165	-1.43340308869392	0.151742676231543	0.227426677709992	Bushbuckridge	species
Prevotella sp. UBA6435	1312.44997983154	-0.527698659592557	0.357905680504512	-1.47440705285454	0.140372026637737	0.213014550422766	Bushbuckridge	species
Christensenellaceae bacterium Phil7	447.953164796053	-0.525924627081146	0.239015143407077	-2.20038203263724	0.0277798015103992	0.052205385500967	Bushbuckridge	species
Lachnospiraceae bacterium UBA7272	738.185287735042	-0.52396225203303	0.289190902173081	-1.81182135432268	0.0700138044293796	0.119043079239869	Bushbuckridge	species
Clostridiales bacterium UBA6388	2201.99705272496	-0.510774414244629	0.194448487045168	-2.62678523246099	0.00861957179067814	0.0184042658761646	Bushbuckridge	species
Prevotella multiformis	551.160206794801	-0.507851908710648	0.339605933326722	-1.49541530012688	0.134806089929116	0.205951354034572	Bushbuckridge	species
Clostridium sp. AF50-3	803.636218926977	-0.502311205645858	0.276278043497452	-1.81813653841982	0.0690432666220158	0.11772264842574	Bushbuckridge	species
Ruminococcus sp. TF12-19AC	798.792919399976	-0.494563633443441	0.391566204536708	-1.26303962832696	0.206574938457239	0.30069781209483	Bushbuckridge	species
Oscillospiraceae bacterium UBA757	1455.05878078659	-0.492536080787302	0.185295536188847	-2.6581108801527	0.00785800351853872	0.0168544457093746	Bushbuckridge	species
Clostridiaceae bacterium AF29-16BH	704.706900998508	-0.491853461289974	0.216105752390796	-2.27598504828566	0.0228469045205466	0.0440256223618152	Bushbuckridge	species
Agathobaculum butyriciproducens	624.663122967347	-0.484053541304087	0.144324168803276	-3.35393264563946	0.000796717536522281	0.00221838323242672	Bushbuckridge	species
