SRR13378614	SRR13378610	SRR13378559	SRR13378572	SRR13378597	SRR13378569	SRR13378573	SRR13378607	SRR13378577	SRR13378635	SRR13378632	SRR13378554	SRR13378574	SRR13378624	SRR13378623	SRR13378596	SRR13378583	SRR13378578	SRR13378618	SRR13378592	SRR13378626	SRR13378599	SRR13378591	SRR13378588	SRR13378631	SRR13378604	SRR13378620	SRR13378551	SRR13378546	SRR13378593	SRR13378590	SRR13378564	SRR13378613	SRR13378634	SRR13378556	SRR13378550	SRR13378598	SRR13378560	SRR13378584	SRR13378605	SRR13378547	SRR13378585	SRR13378575	SRR13378581	SRR13378562	SRR13378633	SRR13378587	SRR13378608	SRR13378611	SRR13378616	SRR13378565	SRR13378595	SRR13378579	SRR13378625	SRR13378609	SRR13378586	SRR13378621	SRR13378567	SRR13378622	SRR13378558	SRR13378606	SRR13378603	SRR13378576	SRR13378594	SRR13378582	SRR13378548	SRR13378627	SRR13378561	SRR13378549	SRR13378619	SRR13378568	SRR13378571	SRR13378555	SRR13378570	SRR13378612	SRR13378617	SRR13378589	SRR13378557	SRR13378600	SRR13378630	SRR13378602	SRR13378629	SRR13378566	SRR13378552	SRR13378601	SRR13378553	SRR13378628	SRR13378580	SRR13378563	SRR13378615
Synergistetes	181	366	167	140	514	94	265	486	216	710	415	27	92	177	998	219	72	220	278	294	292	622	44	206	142	174	430	162	147	49	158	97	183	268	110	319	348	184	81	317	72	44	578	144	1039	344	369	116	330	729	43	1608	9318	578	481	70	991	89	54	145	84	503	466	161	256	327	350	88	55	190	100	464	31	59	978	301	97	149	873	169	494	463	768	256	517	355	1096	149	245	399
Calditrichaeota	15	66	17	7	32	15	54	29	15	39	23	7	7	1	8	36	9	10	3	23	54	35	7	59	10	28	48	18	4	15	15	17	59	22	10	16	17	22	15	46	79	17	267	118	51	38	52	13	15	24	1	208	19	45	36	19	20	2	10	50	6	32	32	13	21	27	21	45	8	22	7	146	6	9	13	27	8	8	56	10	67	68	183	12	55	11	89	18	38	13
Coprothermobacterota	0	1	0	1	0	6	0	0	0	2	0	0	4	0	3	0	0	0	1	1	5	1	10	0	2	0	1	0	0	0	0	1	0	0	0	2	3	0	0	1	2	0	3	6	1	0	3	0	0	3	0	6	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	3	0	0	1	0	1	1	3	0	3	0	3	0	0	1
Candidatus Omnitrophica	238	192	94	186	372	49	812	218	259	451	266	36	122	66	163	243	95	301	140	395	345	355	53	209	94	223	340	133	54	164	131	92	133	161	30	172	333	173	120	159	174	64	691	186	568	285	294	68	220	466	117	1093	354	414	520	109	442	83	46	159	85	420	176	182	241	145	183	119	50	150	47	504	57	46	186	196	104	109	354	120	297	370	895	47	418	212	761	157	249	190
Verrucomicrobia	2434	2234	11097	2052	4766	736	31015	3615	6375	5252	4700	416	2031	1118	2845	2611	5365	1265	1932	18078	2485	3924	2518	8504	1081	2332	3510	8713	1168	1574	1760	1661	2656	2272	1004	10217	2690	50712	3180	1785	678	1466	54544	4775	6455	2101	9796	25755	2766	7132	1041	12086	300878	2964	4793	1375	11003	49463	421	2967	1629	8244	8141	8377	14094	8219	2427	650	463	1279	1090	29731	318	667	72187	2058	3767	967	7399	1304	3032	6292	16170	5683	1046717	44483	11754	12130	5582	2097
Kiritimatiellaeota	2	6	4	1	4	5	26	3	4	8	2	0	1	1	1	9	2	3	1	4	3	11	3	17	6	3	6	1	0	1	3	1	5	29	1	3	9	27	2	4	2	3	212	8	18	8	8	1	5	5	2	21	13	2	3	0	10	3	0	5	3	4	6	16	13	0	4	40	1	0	3	18	3	1	9	6	3	3	20	1	7	10	82	5	8	4	18	0	6	6
Planctomycetes	1060	2026	1106	1891	2360	838	1946	2417	1533	3520	1627	328	1325	492	1573	1583	849	1317	783	1879	1680	2292	473	1630	710	1039	2341	1179	791	912	1060	738	1153	1627	625	1813	1562	1824	1127	1361	649	684	8449	1735	4682	1664	1791	839	1613	2507	482	4613	2480	2236	2625	1130	1988	565	337	1426	621	5257	2042	1542	2436	1084	1584	613	455	841	1030	3220	290	722	1916	1187	883	762	4376	912	1817	2418	3136	503	1984	2352	5624	1145	1804	1437
Chlamydiae	1656	808	144	6083	1026	7959	2581	110	328	708	251	423	1376	28	266	414	1759	1237	168	3888	588	190	127	721	296	288	1019	453	46	690	143	12734	266	219	337	1072	6541	113	1498	482	603	7711	2914	6443	151	535	473	46	154	320	46	696	85	277	2894	158	255	3123	59	2502	182	581	939	158	262	844	1256	405	270	646	110	483	210	67	489	363	1008	41	230	175	462	428	783	1371	411	1370	499	2666	464	1133
Lentisphaerae	515	996	6166	426	6787	134	3228	2493	52582	17840	5941	224	6524	223	5514	2959	1158	5704	903	30971	3526	1310	2316	42187	401	1775	1665	8199	1027	23536	1607	312	1024	1947	10714	25299	742	15200	6558	844	146	316	11865	3211	31260	10884	71843	3401	1217	6319	94	446027	1845	3013	2296	508	1187	7230	91	5042	6395	4630	25578	19370	5632	10885	659	521	101	203	1750	37178	51	213	3070	1033	3731	863	2664	2262	5821	2493	260446	3986	1959	37812	19253	77795	18247	3071
Candidatus Marinimicrobia	58	137	24	107	102	21	165	88	75	138	48	11	78	15	75	83	132	37	55	131	88	101	10	101	30	65	129	52	120	37	34	25	64	148	24	199	58	51	17	58	67	29	359	106	151	104	110	25	50	191	17	306	141	103	133	49	132	40	14	91	35	83	168	61	215	56	72	23	14	85	11	184	22	25	39	62	50	26	108	41	85	116	206	20	128	138	246	74	137	75
