SRR13378614	SRR13378610	SRR13378559	SRR13378572	SRR13378597	SRR13378569	SRR13378573	SRR13378607	SRR13378577	SRR13378635	SRR13378632	SRR13378554	SRR13378574	SRR13378624	SRR13378623	SRR13378596	SRR13378583	SRR13378578	SRR13378618	SRR13378592	SRR13378626	SRR13378599	SRR13378591	SRR13378588	SRR13378631	SRR13378604	SRR13378620	SRR13378551	SRR13378546	SRR13378593	SRR13378590	SRR13378564	SRR13378613	SRR13378634	SRR13378556	SRR13378550	SRR13378598	SRR13378560	SRR13378584	SRR13378605	SRR13378547	SRR13378585	SRR13378575	SRR13378581	SRR13378562	SRR13378633	SRR13378587	SRR13378608	SRR13378611	SRR13378616	SRR13378565	SRR13378595	SRR13378579	SRR13378625	SRR13378609	SRR13378586	SRR13378621	SRR13378567	SRR13378622	SRR13378558	SRR13378606	SRR13378603	SRR13378576	SRR13378594	SRR13378582	SRR13378548	SRR13378627	SRR13378561	SRR13378549	SRR13378619	SRR13378568	SRR13378571	SRR13378555	SRR13378570	SRR13378612	SRR13378617	SRR13378589	SRR13378557	SRR13378600	SRR13378630	SRR13378602	SRR13378629	SRR13378566	SRR13378552	SRR13378601	SRR13378553	SRR13378628	SRR13378580	SRR13378563	SRR13378615
Candidatus Collierbacteria	4	15	13	9	11	8	29	4	22	13	10	2	5	0	6	11	3	3	4	20	10	4	3	10	5	18	10	5	4	4	7	6	6	6	5	16	9	10	5	10	7	1	59	8	32	12	6	0	8	3	8	20	4	6	13	3	1	3	1	10	2	14	4	11	8	4	17	4	0	10	3	17	1	2	6	24	6	5	15	8	15	11	31	4	41	6	33	15	10	10
Candidatus Beckwithbacteria	17	13	2	48	11	90	21	8	11	20	3	6	33	0	15	16	22	7	3	32	23	11	11	10	5	5	22	5	3	94	2	1	17	3	7	14	4	11	74	19	51	6	44	14	19	2	15	3	4	7	0	15	4	4	13	32	1	1	2	21	4	2	9	1	6	8	14	5	2	8	1	11	1	2	6	7	5	6	2	3	16	30	52	6	45	7	21	7	20	7
Candidatus Amesbacteria	2	5	2	15	1	2	1	3	14	10	10	2	11	1	1	2	0	2	1	25	49	7	2	9	6	10	3	3	1	10	3	1	11	3	1	4	66	3	1	1	2	0	15	25	1	9	5	0	2	3	1	11	1	6	3	0	4	1	2	1	0	0	3	8	1	0	4	8	0	11	3	13	1	1	2	2	5	1	2	0	7	21	11	1	17	1	10	0	6	5
Candidatus Blackburnbacteria	4	0	2	0	4	0	6	4	6	20	2	0	3	0	3	0	1	2	2	2	5	24	0	4	3	3	7	0	0	3	0	3	4	0	1	1	1	4	0	66	0	1	17	5	4	3	0	0	0	1	1	27	15	4	10	0	0	4	0	6	0	2	11	0	2	1	3	2	2	1	0	5	0	0	2	23	1	0	2	2	50	5	3	0	50	1	15	1	2	11
Candidatus Woykebacteria	4	4	0	10	15	15	5	5	7	4	13	4	5	0	0	6	20	2	8	10	17	3	1	1	6	1	2	1	2	8	4	4	4	4	12	2	9	2	3	1	8	5	22	4	2	14	2	0	5	8	1	97	9	5	11	5	6	1	1	10	0	2	4	2	6	1	5	17	4	7	1	16	1	22	1	9	2	8	11	5	23	5	38	3	31	3	47	3	27	1
Candidatus Chisholmbacteria	78	3	7	2	6	10	2	8	3	16	0	1	9	4	1	5	1	11	0	1	8	8	7	3	0	1	8	4	0	43	3	1	13	6	3	9	13	22	3	8	1	2	35	7	37	8	3	1	0	9	91	15	5	8	12	8	3	1	32	20	0	13	0	8	2	3	4	0	0	63	99	1	3	3	6	21	27	2	3	8	8	7	3	3	9	3	29	1	2	2
Candidatus Parcubacteria	11	15	1	23	10	3	94	1	19	14	9	0	1	1	14	7	9	5	4	18	40	31	0	5	6	32	9	2	0	4	4	6	28	8	2	36	18	3	2	8	11	0	45	34	19	33	13	2	3	9	0	29	10	11	47	5	7	4	4	2	1	8	5	37	6	2	6	8	2	1	4	37	3	4	2	16	7	13	6	1	15	4	55	0	156	3	71	4	64	14
Candidatus Campbellbacteria	10	4	4	1	14	3	21	2	2	7	5	1	5	1	5	4	2	4	1	5	18	5	1	5	3	37	7	3	1	5	7	15	13	15	0	4	8	1	1	6	0	2	26	19	7	49	5	0	0	8	0	15	2	3	16	1	10	1	1	2	1	1	2	2	5	0	4	2	1	2	1	42	3	1	0	12	4	4	1	2	12	3	50	0	55	1	16	6	52	5
Candidatus Falkowbacteria	57	58	85	80	88	116	380	37	74	66	49	3	127	4	30	14	132	128	37	190	94	51	9	56	18	84	35	30	5	38	63	50	77	24	21	22	29	24	181	27	50	42	182	36	54	51	82	12	14	32	16	201	20	31	80	10	25	25	8	88	3	70	192	49	51	35	14	19	20	11	5	116	20	18	19	33	27	19	35	21	98	83	328	16	168	128	186	29	129	32
Candidatus Nomurabacteria	63	69	17	49	76	26	190	26	65	186	38	12	26	15	56	16	43	75	18	63	160	37	6	45	23	81	80	17	48	99	38	47	48	36	17	63	33	25	4	33	39	12	267	123	39	33	48	13	15	23	37	340	82	115	152	9	35	12	15	50	3	32	27	38	37	76	35	12	12	23	6	160	8	19	23	97	42	31	33	28	55	40	311	39	251	76	94	23	141	34
Candidatus Magasanikbacteria	54	113	18	48	57	144	570	23	67	101	70	11	57	7	49	15	99	73	28	153	194	70	6	61	18	122	138	24	10	50	21	28	119	48	11	98	174	29	6	47	73	26	232	75	56	41	43	6	14	73	12	195	67	196	123	36	430	14	24	116	8	20	29	27	51	44	32	11	21	49	4	163	27	9	9	44	24	46	78	20	107	40	399	12	200	123	108	58	197	75
Candidatus Uhrbacteria	36	79	37	56	43	16	215	55	89	58	57	9	46	5	44	31	16	17	18	58	55	34	6	60	6	55	45	50	16	24	32	13	37	38	10	9	25	25	38	38	37	10	123	41	77	61	49	11	36	31	37	167	80	49	60	17	14	18	6	34	7	20	39	38	46	39	30	13	16	23	11	64	11	15	83	30	35	21	58	73	62	50	95	9	179	25	112	27	34	37
Candidatus Yanofskybacteria	20	36	5	51	54	6	67	11	11	95	16	6	11	2	7	6	22	29	79	80	46	30	2	13	9	38	33	14	8	10	5	10	14	17	12	18	27	18	3	19	21	36	40	15	51	65	61	3	21	24	3	123	29	102	26	6	61	3	8	51	6	106	13	12	21	13	18	8	11	9	14	95	2	1	5	16	24	14	41	14	89	27	274	4	212	18	63	11	31	26
Candidatus Kaiserbacteria	27	102	17	48	93	24	114	42	36	72	22	9	21	6	48	31	32	21	15	65	31	74	12	53	4	24	36	18	7	15	7	20	61	28	17	39	27	26	15	27	15	9	130	53	47	45	44	3	38	15	56	208	94	155	34	30	119	78	11	25	14	48	48	26	53	18	26	5	6	20	13	125	7	5	19	29	9	11	89	17	44	56	113	9	43	58	83	86	70	28
Candidatus Wolfebacteria	5	11	13	20	21	7	69	22	39	15	8	4	0	3	19	9	67	19	6	15	15	11	4	60	4	19	14	13	5	18	14	10	22	19	4	9	34	19	2	16	9	9	149	41	26	5	77	0	21	13	5	65	11	29	53	10	12	4	1	16	6	20	5	18	15	19	8	6	2	27	0	36	13	7	14	9	16	11	23	11	82	26	44	5	52	21	25	14	30	12
Candidatus Adlerbacteria	3	2	0	0	1	2	2	2	5	3	2	2	3	0	2	0	3	1	3	10	1	2	1	7	1	2	3	7	2	4	0	2	9	1	0	3	4	6	23	10	1	0	12	1	5	0	0	1	8	0	0	7	22	4	3	2	13	0	1	2	1	18	4	3	8	6	3	0	0	0	1	5	1	2	5	1	2	3	22	3	12	7	21	2	9	3	56	5	7	1
Candidatus Moranbacteria	151	172	42	202	310	42	333	97	206	282	107	29	77	15	49	29	60	71	28	94	204	172	19	180	70	212	115	90	17	137	67	59	198	78	26	217	93	149	38	79	31	37	256	136	149	126	105	19	27	119	30	259	54	61	170	38	128	73	21	112	14	35	61	86	67	31	44	71	28	37	15	255	81	27	30	77	58	33	185	35	201	144	337	79	194	85	204	117	279	100
Candidatus Giovannonibacteria	13	10	21	30	20	12	37	23	33	34	48	3	14	3	7	18	18	13	6	23	36	18	4	21	5	13	57	14	3	12	17	5	16	7	2	12	10	15	6	5	5	18	95	9	27	28	26	3	8	30	4	82	18	21	17	15	35	12	8	10	3	7	16	26	23	15	15	5	5	5	3	48	22	4	12	13	13	6	13	12	24	18	75	8	46	18	29	16	28	13
Candidatus Jorgensenbacteria	0	3	3	4	12	15	17	1	4	13	3	6	4	0	2	1	8	34	1	17	7	2	1	7	1	8	14	4	4	2	3	8	3	3	3	6	27	10	2	1	68	1	70	1	5	3	1	1	6	1	0	15	3	4	8	2	3	5	1	4	0	9	11	5	3	5	4	1	2	1	7	3	0	3	0	56	6	7	8	3	5	9	17	2	47	8	19	3	4	7
Candidatus Kuenenbacteria	8	7	0	6	20	8	12	29	13	19	7	0	40	0	7	3	7	6	4	174	27	11	6	7	8	20	14	5	0	4	8	7	11	8	3	7	12	22	3	11	7	3	28	6	13	9	11	1	5	3	0	73	2	6	53	6	6	5	4	10	2	6	23	1	71	5	8	10	1	15	1	48	3	0	5	10	6	5	13	2	11	23	27	0	54	11	33	3	13	12
Candidatus Azambacteria	3	2	3	0	10	3	15	22	23	6	3	0	2	1	6	0	1	8	4	2	20	7	0	12	1	2	15	2	1	1	1	3	5	5	0	1	11	3	1	3	6	3	30	5	72	12	12	2	8	7	22	58	8	11	18	1	7	1	0	20	3	10	10	10	9	8	3	1	2	1	1	22	2	15	5	8	5	1	5	0	6	13	19	7	19	4	72	17	10	4
Candidatus Andersenbacteria	26	10	14	49	5	3	35	2	5	3	10	6	4	0	1	9	6	6	6	9	10	4	1	13	3	4	19	7	3	8	4	3	20	3	19	7	1	3	4	4	1	1	31	23	9	1	12	3	0	1	0	21	2	4	20	3	25	2	0	19	0	12	12	3	5	2	11	10	2	0	1	12	6	0	1	4	8	0	3	0	2	4	30	5	12	5	24	0	6	5
Candidatus Brennerbacteria	2	3	0	0	1	11	9	0	1	12	0	0	0	0	1	0	0	0	0	1	5	2	0	0	0	3	0	0	0	1	1	0	2	0	0	0	0	6	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	5	0	0	0	1	1	3	0	2	0	1	0	0	0	0	1	0	0	0	3	1	3	0	0	0	4	1	0	0
Candidatus Buchananbacteria	14	23	17	5	42	2	30	23	34	16	16	8	28	9	6	7	9	15	6	14	25	18	3	25	1	17	13	4	7	26	5	74	55	15	20	15	17	11	8	6	6	20	38	20	34	30	11	5	74	18	0	52	32	30	39	3	13	20	2	26	8	5	14	20	19	5	17	7	1	6	2	43	1	9	16	12	19	19	10	20	31	17	97	14	58	9	35	7	46	16
Candidatus Colwellbacteria	1	4	1	5	15	5	60	1	1	3	0	1	20	0	3	4	54	1	1	8	0	1	0	5	0	1	3	0	1	0	1	1	7	0	7	130	0	0	0	7	0	0	165	9	6	2	0	0	0	1	0	8	0	3	1	1	2	0	0	7	0	1	1	3	94	1	3	4	0	0	0	6	1	0	0	1	9	1	6	5	1	1	13	3	3	13	6	10	3	0
Candidatus Harrisonbacteria	45	1	8	5	16	2	30	2	4	9	7	2	2	56	5	0	7	1	0	5	38	4	0	4	0	31	10	6	0	6	1	9	13	3	0	5	11	4	1	3	4	3	25	34	7	4	5	3	2	9	0	45	8	5	20	5	10	0	25	15	1	10	3	2	12	2	3	5	5	6	3	28	1	2	1	7	4	1	19	2	21	2	47	4	15	3	22	2	16	8
Candidatus Jacksonbacteria	26	2	2	0	0	1	8	1	2	5	1	1	1	0	3	0	1	8	0	1	2	0	0	6	0	2	2	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	2	0	0	9	2	0	1	1	0	1	1	0	2	64	0	2	0	0	0	2	0	6	0	0	1	0	0	1	1	1	0	6	1	0	0	0	1	1	2	2	5	0	3	1	6	0	2	0
Candidatus Kerfeldbacteria	3	10	3	2	12	4	25	9	14	87	9	1	2	12	34	51	6	15	6	35	95	7	2	14	0	15	26	3	2	25	10	7	12	3	45	1	28	4	4	61	3	1	19	15	23	13	76	4	7	5	0	32	115	11	10	42	10	2	2	5	5	4	24	64	9	8	8	16	0	10	4	12	6	2	4	8	5	5	19	7	26	6	82	7	19	21	40	30	11	24
Candidatus Komeilibacteria	8	20	6	6	25	8	140	7	18	13	8	2	3	1	10	9	1	11	4	6	22	9	3	13	6	9	8	2	16	38	9	9	20	16	4	6	16	6	1	4	2	9	55	5	8	8	16	4	8	6	0	61	2	17	10	2	4	0	1	23	3	13	11	7	6	11	12	5	5	5	3	8	2	0	1	8	6	2	11	8	8	8	60	4	28	5	28	33	16	6
Candidatus Liptonbacteria	2	12	5	8	12	2	19	13	12	47	10	2	3	4	1	11	0	3	3	3	15	14	0	3	0	5	8	3	0	3	6	4	6	2	0	50	2	4	0	6	2	5	14	10	7	7	11	2	4	15	2	33	9	29	16	0	6	0	1	8	0	10	10	10	6	6	9	0	0	3	7	48	0	0	7	4	1	0	5	4	10	16	29	0	18	9	25	3	58	5
Candidatus Lloydbacteria	3	7	3	1	11	0	7	34	2	9	9	0	2	1	3	23	0	8	0	8	5	21	1	4	3	2	4	2	1	0	2	13	2	6	0	2	4	1	0	28	2	1	25	0	15	2	4	3	6	3	9	11	24	12	20	1	11	0	1	4	5	149	14	8	2	2	5	1	1	7	0	19	1	3	9	5	3	1	12	5	8	6	37	7	14	3	43	11	16	4
Candidatus Nealsonbacteria	123	11	4	85	26	18	47	16	15	22	8	8	16	2	32	7	70	13	5	33	46	23	3	33	6	55	52	20	1	10	10	133	39	14	83	153	26	13	1	22	24	2	127	44	25	18	9	4	3	10	8	109	7	16	49	6	14	5	5	23	1	3	10	11	10	11	11	4	3	32	2	78	14	3	6	16	79	10	8	4	41	6	93	7	76	4	100	4	87	14
Candidatus Niyogibacteria	0	0	3	8	1	0	7	2	2	6	1	1	1	0	0	2	4	0	0	2	4	4	1	23	1	0	0	4	1	3	2	1	2	0	0	0	1	16	0	2	2	2	4	10	9	12	8	0	1	1	0	10	2	1	3	2	1	3	0	2	1	4	0	4	4	2	1	1	0	0	0	10	0	0	1	5	1	2	3	1	4	28	3	2	22	3	4	2	5	0
Candidatus Portnoybacteria	67	31	6	152	32	41	70	7	15	20	12	11	9	0	49	3	103	86	6	167	44	7	3	16	12	9	92	10	42	144	9	88	12	16	18	19	42	15	3	7	22	7	151	97	7	15	10	2	4	11	7	144	11	28	72	22	23	164	6	41	0	4	10	8	9	34	13	8	8	24	2	56	6	9	3	21	9	15	2	2	23	6	58	3	56	42	28	29	74	79
Candidatus Ryanbacteria	1	17	2	2	6	7	2	9	3	6	2	1	1	2	9	1	3	2	1	30	10	7	26	5	0	3	11	3	1	0	3	1	4	4	4	1	2	0	2	3	7	2	4	2	11	3	8	1	3	6	0	81	5	4	20	1	3	2	5	32	2	2	5	2	0	5	7	2	1	1	1	5	0	0	4	7	1	1	3	2	10	5	12	0	13	3	7	3	9	3
Candidatus Spechtbacteria	1	0	3	0	5	0	22	4	1	12	0	1	1	3	1	8	2	1	5	7	9	10	0	3	2	142	1	3	0	2	3	1	2	3	1	1	0	13	0	6	4	6	8	1	22	3	1	0	4	6	1	14	8	4	8	1	0	1	0	2	2	1	2	2	2	2	3	0	1	0	0	50	1	0	0	4	1	2	8	0	19	9	28	0	18	1	26	3	8	1
Candidatus Staskawiczbacteria	14	60	18	8	32	6	29	4	7	45	9	3	7	1	11	8	8	18	10	10	54	22	1	25	7	36	18	14	2	6	16	5	18	9	3	48	31	3	8	8	8	1	162	102	11	50	6	1	8	18	3	169	13	12	52	2	26	3	0	16	6	11	8	7	10	17	5	14	8	8	1	83	3	3	10	6	8	11	4	4	59	26	61	2	59	5	81	7	44	35
Candidatus Sungbacteria	15	17	11	4	15	4	42	18	21	35	43	2	12	6	36	12	14	14	7	31	20	31	3	18	14	7	26	10	4	4	4	4	17	12	0	22	14	7	4	8	1	8	68	16	116	35	42	5	15	12	1	47	13	14	33	28	23	0	3	37	8	33	30	12	31	11	14	33	7	16	6	18	1	4	10	5	11	4	32	13	11	12	53	1	21	9	55	45	13	19
Candidatus Tagabacteria	13	9	6	13	2	4	2	0	4	1	3	1	0	0	1	0	10	0	1	5	20	2	1	1	0	1	2	4	0	9	2	1	3	0	1	1	0	1	0	7	12	0	2	6	0	1	7	0	2	2	0	1	2	2	0	0	0	4	4	0	0	3	2	0	1	0	1	3	1	0	0	2	9	0	0	0	1	3	10	3	3	1	16	1	3	2	1	1	3	2
Candidatus Taylorbacteria	19	4	3	11	30	13	129	11	14	17	10	4	14	0	5	7	5	10	4	94	23	15	2	15	7	27	23	5	6	7	11	4	15	15	1	18	8	8	1	17	7	2	31	14	22	40	20	1	9	11	12	43	8	15	21	2	17	1	7	25	3	15	42	8	9	8	14	3	2	2	2	53	3	4	12	7	8	9	15	5	16	10	51	3	211	19	49	21	25	34
Candidatus Terrybacteria	1	2	2	2	10	1	4	3	6	8	6	6	0	2	6	5	0	41	0	0	14	5	0	45	1	8	9	1	3	3	4	2	10	1	2	0	12	0	2	1	4	0	11	7	4	0	4	3	2	10	0	10	3	1	4	2	0	2	1	3	1	18	0	1	3	1	2	4	6	4	2	3	4	0	2	3	1	2	7	3	17	3	19	4	42	0	12	2	2	3
Candidatus Veblenbacteria	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	1	20	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	3	0	0	0	1	3
Candidatus Vogelbacteria	2	6	6	8	4	6	28	5	3	22	9	2	1	7	5	1	3	30	5	31	11	3	0	6	3	6	3	8	0	2	0	0	4	5	1	20	3	1	9	4	1	3	26	6	14	20	6	1	6	4	2	28	3	11	3	2	6	1	0	8	0	4	8	2	4	2	9	3	0	0	0	16	1	1	2	6	1	2	21	0	9	6	33	2	11	15	17	3	6	2
Candidatus Wildermuthbacteria	8	29	3	14	6	11	8	3	3	12	3	2	12	0	4	3	5	5	3	8	25	9	2	7	3	7	11	6	1	4	6	3	17	3	1	12	0	2	1	2	4	1	44	50	8	4	24	2	1	5	2	30	6	25	21	1	2	5	2	3	0	26	18	7	6	7	9	5	6	2	1	89	2	4	2	7	2	3	13	2	61	16	12	0	13	4	14	5	8	9
Candidatus Yonathbacteria	7	8	1	1	15	11	6	7	33	16	9	0	40	0	6	4	19	22	3	38	6	2	1	13	1	3	4	0	3	0	0	5	16	1	0	6	3	7	3	4	37	7	27	4	748	3	5	2	3	5	2	32	3	9	18	2	0	6	0	11	2	3	44	4	11	2	7	4	0	5	5	13	5	0	2	3	9	15	12	7	8	18	61	4	12	22	14	3	9	3
Candidatus Zambryskibacteria	16	39	69	8	17	7	56	18	21	41	20	13	14	5	8	4	8	8	1	10	47	10	1	34	13	20	57	7	3	6	11	12	28	10	9	5	32	3	0	5	6	12	38	27	20	6	15	4	9	42	5	89	23	13	38	11	4	3	3	71	16	13	7	8	18	4	19	96	5	5	5	27	5	0	9	12	21	10	4	7	28	7	37	0	75	12	34	9	12	19
Euryarchaeota	6494	2471	103230	2061	3099	869	106960	7557	19321	18202	39931	586	72389	2740	6000	6704	909	1737	34171	93558	99674	12317	15088	5472	1404	2387	11967	1133	17105	2351	20648	2719	2163	29790	3017	2736	7318	1913	32062	3479	880	892	11828	2389	14019	2721	2377	16932	9859	5611	522	196699	89361	17188	5804	11865	108789	737	386	91657	4346	15808	57506	8874	52235	9869	8888	985	775	1413	1011	8937	672	483	2579	16930	4443	23409	11714	1082	2862	3035	53190	5557	55013	2181	81658	3177	3431	2325
Crenarchaeota	28	74	39	38	103	29	133	93	57	69	54	13	58	16	46	37	36	34	57	108	534	102	15	75	55	218	118	12	15	71	45	51	61	50	25	13	46	73	64	70	30	22	306	82	96	103	64	13	43	73	1	251	76	60	151	43	48	23	4	25	11	85	75	17	66	58	61	42	25	54	13	61	15	4	80	79	56	45	140	31	107	100	217	12	255	88	213	61	92	60
Candidatus Korarchaeota	0	5	1	34	2	1	0	4	3	2	1	2	0	0	1	10	0	2	0	1	2	6	0	1	0	2	5	0	2	2	2	1	5	9	0	4	3	2	3	5	1	0	4	3	1	12	4	1	1	7	0	2	3	0	2	8	0	1	0	0	1	50	0	1	0	0	6	1	0	1	2	0	0	3	4	3	1	0	1	1	1	1	4	1	1	10	6	2	2	0
Thaumarchaeota	49	177	40	162	98	27	132	126	33	83	60	11	46	9	70	87	35	26	27	64	159	116	10	81	17	145	127	27	43	22	32	25	63	183	56	65	60	53	41	66	34	41	444	169	112	71	63	8	72	93	3	272	59	43	84	24	39	32	11	71	6	78	67	26	86	28	56	31	24	123	5	117	14	21	38	86	37	42	92	18	139	43	185	16	209	40	308	40	97	61
Candidatus Bathyarchaeota	80	86	55	41	54	28	88	125	60	126	95	2	27	9	40	75	56	29	15	38	138	101	22	63	29	61	151	18	7	46	39	47	51	39	19	42	50	64	128	79	23	22	201	151	92	79	68	10	77	59	5	231	88	64	416	18	47	23	24	83	22	101	53	76	61	40	37	21	17	65	19	88	27	32	38	97	61	19	158	33	76	55	111	11	130	97	252	43	156	59
Candidatus Verstraetearchaeota	0	9	1	2	5	0	0	8	2	12	4	0	2	5	8	8	0	0	4	0	0	8	0	1	1	0	3	5	2	1	2	4	0	1	0	2	3	0	0	1	0	0	11	1	7	2	7	0	6	14	0	32	4	2	3	1	5	0	3	1	0	16	10	0	4	1	5	0	0	0	5	0	1	0	30	3	1	2	11	1	6	3	3	0	5	3	9	1	3	3
Candidatus Geothermarchaeota	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	3	4	0	0	0	2	0	1	0	1	1	1	0	0	1	0	0	2	0	0	1	0	0	1	0	2	1	0	0	0	1	5	0	0	0	0	0	1	1	0	0	0	5	0	1	1
Nanoarchaeota	1	0	0	0	0	7	8	0	1	3	0	0	0	0	1	0	1	0	0	1	3	3	0	0	1	4	5	0	8	0	2	2	5	0	0	0	2	0	0	1	1	0	4	3	0	0	1	0	4	0	0	0	0	0	3	1	4	2	2	0	0	0	1	1	1	2	0	0	0	0	0	1	2	0	0	2	0	0	1	0	2	0	2	3	21	0	10	0	14	4
Candidatus Aenigmarchaeota	4	4	1	0	17	2	2	3	1	5	3	0	1	0	9	2	1	2	0	1	6	3	0	2	1	16	4	2	2	1	1	1	1	4	0	3	6	1	1	5	0	1	13	3	2	3	6	1	0	7	1	2	15	4	8	2	6	2	3	4	0	3	1	0	1	4	0	0	2	44	0	1	0	0	1	0	0	5	4	5	6	6	11	2	14	0	3	3	12	2
Candidatus Diapherotrites	11	9	2	9	1	2	4	0	3	1	4	14	0	0	1	4	2	0	0	0	15	8	2	5	1	12	3	0	0	1	1	0	5	9	1	3	26	1	0	9	3	0	49	13	2	1	3	0	0	6	0	14	5	1	4	5	0	8	0	17	6	3	0	2	0	0	5	0	2	2	0	2	1	3	0	3	3	4	6	1	10	0	19	4	4	0	7	1	11	0
Candidatus Parvarchaeota	2	1	0	7	4	3	43	0	2	1	1	1	0	0	0	0	38	9	0	17	2	1	0	0	0	4	12	0	0	42	1	0	7	0	0	2	7	0	0	0	0	0	23	14	0	0	4	0	1	1	0	0	0	0	3	0	0	7	0	2	0	0	0	1	1	1	0	9	0	0	0	3	1	0	0	1	2	0	0	0	0	0	4	7	3	18	0	0	2	0
Candidatus Woesearchaeota	12	49	13	13	25	2	12	16	9	33	14	1	4	8	10	5	4	2	3	10	48	41	3	52	11	59	32	5	3	4	6	15	22	22	9	14	17	2	1	30	8	0	86	81	22	13	43	5	47	37	0	133	25	26	32	15	18	12	3	14	35	601	19	12	17	12	28	9	1	7	1	43	4	3	5	8	15	40	24	11	45	6	57	5	101	6	106	12	24	23
Candidatus Micrarchaeota	3	6	4	0	16	1	1	22	11	20	11	4	6	1	7	6	3	1	6	15	15	10	1	5	1	10	7	2	0	2	3	4	2	5	17	15	3	1	11	2	1	4	15	6	47	13	8	4	7	5	0	19	21	11	9	10	35	0	4	32	1	8	11	3	25	5	9	1	2	13	3	13	1	1	12	7	3	1	13	6	10	16	5	0	12	21	19	7	8	8
Candidatus Altiarchaeota	3	26	4	20	28	3	13	9	4	30	10	0	4	4	7	5	7	2	7	5	26	27	0	3	2	20	15	4	7	15	2	4	12	9	2	2	25	18	2	11	5	1	42	14	14	33	15	1	15	12	0	42	10	8	13	2	9	4	2	0	1	12	3	1	10	10	19	3	0	8	0	10	1	0	9	14	9	4	8	2	21	6	71	3	25	2	36	0	15	8
Candidatus Huberarchaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0
Candidatus Lokiarchaeota	99	18	5	14	53	39	65	4	15	26	19	2	15	1	12	3	13	54	3	5	61	19	0	10	16	110	28	30	1	64	22	10	35	18	8	18	30	34	0	32	22	23	73	102	31	42	71	16	3	6	1	52	4	11	15	20	11	3	30	9	1	9	11	5	7	7	7	16	10	43	1	32	19	8	5	41	51	17	13	2	24	21	65	6	82	2	105	8	37	16
Candidatus Thorarchaeota	2	1	0	32	4	1	88	6	5	1	0	3	2	1	6	0	35	24	1	41	4	1	6	3	0	92	26	7	0	2	2	1	40	8	1	0	4	2	0	7	1	22	41	34	8	3	7	1	1	0	0	4	1	2	2	54	0	19	0	18	1	7	2	0	6	2	9	0	3	3	3	16	6	0	1	4	3	0	5	0	6	7	8	9	28	59	21	3	1	1
Candidatus Heimdallarchaeota	9	20	1	9	8	0	9	1	4	4	6	0	5	0	6	1	1	4	0	2	33	17	0	3	0	39	3	0	0	1	1	3	11	2	2	1	6	4	0	2	3	2	4	5	2	7	1	0	2	6	1	152	4	0	16	1	4	0	0	0	0	0	2	2	0	2	2	3	2	19	0	4	1	0	0	11	2	5	1	2	3	6	18	0	22	28	32	0	12	1
Candidatus Helarchaeota	2	5	0	3	1	0	1	0	5	2	6	0	0	0	13	3	0	3	1	1	6	0	0	6	3	17	14	0	0	0	1	1	3	0	1	0	9	0	0	2	0	5	2	3	0	8	2	4	1	5	0	4	0	3	3	3	0	0	0	2	0	1	1	2	1	10	3	1	2	2	0	0	0	0	0	9	2	2	1	2	13	0	1	0	1	1	6	1	1	2
