SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Caulochytriales	9	24	1	1	13	6	44	7	24	1	2	24	3	1	6	3	28	21	5	8	13	1	0	0	0	0	8
Synchytriales	88	32	2	1	7	24	20	3	45	6	4	5	48	6	5	1	31	6	11	2	17	5	3	2	1	9	8
Monoblepharidales	29	52	4	8	18	6	32	11	39	7	7	6	17	14	7	7	52	17	11	11	6	5	2	6	3	6	9
Neocallimastigales	681	777	329	191	446	416	336	609	565	450	97	65	472	268	65	177	626	72	141	61	333	178	93	167	75	218	237
Blastocladiales	26	55	16	9	13	21	73	11	94	17	3	27	12	5	3	8	73	33	7	10	11	27	0	9	2	3	21
Glomerales	3584	4018	1475	814	1879	1433	2306	2284	3110	2092	583	345	2565	1196	412	857	2993	407	798	323	1992	581	462	729	493	1104	1121
Diversisporales	4543	4822	1927	1083	2697	2110	3312	2834	4228	3011	728	535	3313	1636	702	1068	4097	668	1227	490	2478	711	648	1014	659	1129	1476
Endogonales	0	35	4	5	6	5	23	5	32	5	1	4	2	5	1	3	12	1	1	4	6	3	1	0	0	6	6
Mucorales	2913	2667	945	580	1968	1127	2840	1866	2886	1451	275	365	2414	1088	355	590	2831	397	434	294	1205	499	303	494	338	1185	764
Mortierellales	110	224	64	51	109	103	286	48	268	95	61	20	122	85	117	56	264	105	163	20	97	44	13	75	15	13	62
Zoopagales	106	167	33	15	81	49	280	42	242	31	10	34	41	34	21	10	141	57	29	16	61	20	9	14	5	12	36
Kickxellales	18	44	24	9	18	10	45	6	106	6	3	4	13	6	2	2	115	11	6	3	14	3	0	6	2	2	4
Dimargaritales	28	68	18	6	16	23	49	8	23	22	7	6	21	5	5	6	44	12	5	7	23	6	3	6	0	1	19
Harpellales	1448	1613	622	342	995	683	1241	751	1386	826	197	142	1054	501	178	352	1381	201	346	157	807	267	196	333	178	404	468
Entomophthorales	854	866	311	158	521	374	923	396	981	500	163	155	609	259	123	203	840	149	194	98	493	164	94	148	126	187	253
Schizosaccharomycetales	41	73	28	16	35	28	59	20	115	65	10	9	37	21	5	29	82	12	9	7	28	32	4	19	6	35	19
Taphrinales	109	102	27	11	36	61	157	90	94	26	7	7	80	10	19	11	113	41	22	24	32	21	4	11	17	9	19
Neolectales	1	25	17	3	8	4	17	9	25	4	2	4	3	3	2	7	56	2	2	8	1	9	2	8	1	1	2
Saccharomycetales	13197	15140	4533	2564	7463	5650	13884	6272	15116	7017	2080	2143	9442	3929	1937	3121	14297	2828	3007	1525	7461	2094	1354	2699	1314	2573	3878
Pezizales	824	1262	343	217	747	610	1813	517	1514	573	143	250	635	396	157	278	1295	284	254	172	654	211	91	176	99	187	345
Orbiliales	416	709	238	129	288	315	494	487	736	397	97	102	418	242	140	148	684	167	263	71	349	108	37	129	50	202	162
Chaetothyriales	318	870	186	113	477	337	1446	322	1032	282	74	194	269	155	122	173	947	297	133	169	283	93	52	93	59	129	159
Verrucariales	71	49	17	12	25	13	54	23	57	23	7	15	45	14	6	12	51	15	11	6	31	13	3	13	1	7	20
Phaeomoniellales	24	70	15	7	16	12	42	7	37	27	6	15	20	5	5	17	60	24	11	4	58	4	16	5	0	14	8
Eurotiales	3978	5844	1877	1048	2960	2140	5484	2000	5573	2571	763	938	2902	1617	795	1163	5573	1329	1300	654	2370	834	536	839	470	883	1523
Onygenales	1158	1627	544	297	815	599	1643	451	1587	885	208	223	981	532	226	292	1507	348	314	194	739	311	151	295	110	275	399
Ostropales	10	21	1	1	8	12	29	7	5	2	2	5	9	10	6	3	24	7	13	9	12	1	0	0	0	0	4
Lecanorales	461	423	134	87	225	193	335	148	356	268	46	75	325	125	54	83	417	104	93	55	179	80	30	69	50	82	127
Teloschistales	120	91	47	20	77	41	91	39	72	62	13	17	60	35	3	40	204	8	18	4	59	9	7	18	17	12	28
Umbilicariales	48	82	19	9	77	27	197	30	126	33	4	25	30	17	17	18	88	30	14	9	70	12	12	5	4	19	10
Geoglossales	1911	3305	720	381	1422	973	4984	1237	4496	1048	396	1282	1450	757	669	703	4407	1986	640	746	1206	546	157	416	188	467	705
Xylonales	11	28	10	3	13	8	29	13	46	8	3	3	10	24	2	8	19	6	3	3	3	4	1	3	2	4	9
Symbiotaphrinales	7	23	9	3	8	11	25	7	9	6	0	11	4	1	5	3	19	8	1	1	10	6	2	1	1	1	6
Arthoniales	99	38	6	8	27	7	59	10	74	5	7	5	64	11	11	9	98	14	8	7	13	4	1	5	1	9	5
Patellariales	41	53	16	6	14	15	44	6	41	37	5	5	39	2	7	3	39	15	5	5	35	8	3	7	2	5	15
Botryosphaeriales	403	764	161	85	291	202	924	230	919	234	103	230	298	190	121	120	801	324	153	109	259	105	22	66	127	144	147
Microthyriales	41	42	15	6	18	23	44	9	70	27	9	5	26	20	15	10	55	19	18	11	21	6	1	17	9	3	16
Trypetheliales	20	60	11	5	6	9	41	17	43	14	2	3	17	6	8	4	25	7	4	2	15	4	5	2	2	3	7
Acrospermales	12	53	11	4	4	4	11	10	32	4	7	4	16	0	1	11	51	1	6	3	12	2	2	2	2	7	0
Venturiales	373	596	205	93	280	224	662	264	751	320	68	138	265	147	89	153	628	160	140	125	247	144	34	116	34	71	152
Phaeotrichales	6	14	4	1	5	8	34	8	25	4	0	6	1	5	5	2	19	4	6	3	5	3	0	0	2	3	1
Dothideales	185	210	54	22	78	74	288	62	287	82	23	40	93	52	44	62	338	99	32	49	113	38	11	26	6	19	34
Myriangiales	58	113	19	11	66	57	172	32	179	64	8	40	61	17	25	24	188	43	49	26	65	27	7	10	28	37	26
Capnodiales	1968	2958	449	255	1318	1532	4253	568	3052	1547	444	476	798	726	248	351	3188	595	701	240	1755	291	161	655	116	231	307
Pleosporales	1857	2501	646	363	1330	1110	3454	942	3139	1036	332	663	1357	569	434	607	3251	918	545	381	1427	373	141	507	189	349	550
Mytilinidiales	96	106	34	18	73	51	250	33	165	46	24	47	73	28	13	21	140	55	25	21	141	20	5	25	11	6	56
Erysiphales	1029	1091	448	250	469	603	799	540	1252	584	154	285	684	419	230	304	932	289	413	144	786	268	75	334	157	301	396
Helotiales	4222	4752	1509	905	2758	2151	4398	2419	5000	2765	702	685	3080	1421	660	1147	4641	871	1116	542	2878	845	371	885	524	1059	1384
Hypocreales	6963	8551	2523	1401	4519	3284	9632	3516	9385	4062	1100	1770	5148	2228	1247	1976	9662	2596	1882	1156	3840	1488	565	1423	722	1462	2133
Microascales	927	1455	401	227	742	547	1464	479	1510	550	193	277	660	356	169	272	1583	324	264	169	602	156	85	200	132	189	252
Coronophorales	2810	6261	1398	708	2381	2150	9385	2042	7894	1683	615	2597	2280	1093	1046	987	8525	4013	1008	1373	2365	773	232	512	368	607	1189
Glomerellales	2434	3095	933	476	1401	1189	2825	1157	3156	1415	373	614	1737	778	435	591	3449	790	635	357	1460	545	182	522	210	641	770
Diaporthales	1334	1037	308	168	529	415	1083	372	1169	499	126	216	845	325	179	242	1136	398	353	158	505	173	52	182	97	253	325
Phyllachorales	138	615	77	231	44	130	133	22	74	37	23	23	131	18	8	35	104	23	8	25	34	5	32	7	24	87	48
Sordariales	2470	4085	1138	632	2084	1541	4927	1678	4637	1851	576	1041	1937	1055	640	762	4712	1514	827	598	1983	618	221	606	292	506	942
Ophiostomatales	890	1436	370	192	512	459	1601	546	1440	461	174	445	702	296	215	275	1749	620	227	204	578	191	64	197	124	238	314
Coniochaetales	208	123	29	10	43	65	161	65	121	59	12	29	162	34	11	44	174	56	26	26	55	13	2	42	13	26	16
Magnaporthales	477	1516	334	366	488	397	1057	279	964	409	118	236	417	280	166	215	969	349	235	146	498	170	118	120	82	236	228
Togniniales	141	36	8	3	23	38	51	16	57	41	1	11	99	8	5	4	55	14	8	5	53	0	2	11	12	6	5
Xylariales	3959	7183	1853	1318	2257	1624	2827	2456	3366	2336	568	623	2914	1220	450	987	3749	674	777	399	2149	699	344	819	319	784	1156
Herpomycetales	17	16	5	6	10	5	26	4	26	4	1	1	22	2	3	3	10	3	6	0	6	3	0	2	0	4	0
Tremellales	769	809	178	99	279	337	885	211	776	302	71	178	471	169	107	129	1126	299	144	122	331	118	32	78	37	77	122
Cystofilobasidiales	23	116	34	21	22	41	87	26	167	23	13	42	32	19	17	20	113	36	22	8	27	11	0	6	1	3	11
Filobasidiales	55	77	24	14	51	41	148	27	144	79	14	22	36	21	18	29	86	44	32	10	32	13	3	18	27	17	33
Holtermanniales	9	33	13	5	29	12	120	13	41	9	2	11	13	3	4	1	29	19	7	6	12	5	4	3	1	2	14
Trichosporonales	357	1510	176	95	870	203	2393	214	1746	189	92	294	263	110	138	84	2115	436	142	133	320	142	37	81	46	47	158
Auriculariales	56	174	35	21	53	76	223	55	197	60	13	50	61	26	38	53	328	109	29	55	51	24	8	18	8	10	28
Polyporales	462	948	218	97	405	293	1480	279	1461	427	111	368	375	170	195	179	1177	531	186	184	406	126	38	123	94	116	186
Cantharellales	313	736	164	99	240	232	731	270	760	239	67	207	273	156	84	121	787	227	103	110	282	110	24	86	73	61	174
Thelephorales	101	268	37	50	31	50	62	17	89	13	7	17	64	20	17	9	71	20	14	14	35	18	6	16	4	7	17
Hymenochaetales	92	248	66	49	118	59	271	55	196	53	16	39	77	38	35	36	201	59	32	30	77	21	15	19	6	15	54
Sebacinales	122	117	22	22	28	53	67	31	88	12	10	17	88	21	11	4	75	14	8	16	113	15	6	16	6	32	13
Corticiales	46	43	13	3	9	33	31	12	47	11	2	14	43	7	9	1	57	33	15	10	16	5	3	2	6	9	5
Gloeophyllales	29	59	17	6	21	28	124	26	85	24	4	21	22	16	13	9	61	17	13	13	27	11	3	17	5	11	18
Russulales	584	1361	297	186	441	365	1151	267	1075	363	117	278	448	169	154	215	1060	362	166	138	446	134	34	148	73	85	194
Trechisporales	36	34	7	8	8	9	24	4	42	6	4	3	19	9	8	4	23	9	5	4	10	0	2	0	0	3	4
Agaricales	2375	6359	1178	654	2122	1708	5408	1567	5403	1958	538	884	1932	942	773	877	4999	1314	1013	547	2123	557	254	670	421	654	927
Boletales	765	1542	430	445	486	466	1296	407	1484	411	151	282	555	283	174	234	1208	300	253	164	472	137	83	172	93	258	216
Atheliales	149	147	44	14	58	75	177	61	160	87	19	23	100	33	28	59	250	48	42	15	103	23	10	28	9	32	39
Jaapiales	8	38	4	2	2	11	28	10	40	9	5	8	5	3	1	16	105	4	2	18	6	2	3	3	2	2	3
Amylocorticiales	28	16	4	4	20	5	78	4	28	1	6	9	17	4	22	3	15	14	10	5	18	5	3	1	0	3	5
Geastrales	64	131	51	23	50	33	73	30	94	34	8	12	57	28	11	27	108	26	15	22	51	22	9	5	6	12	18
Gomphales	248	853	269	113	213	132	418	239	272	158	69	60	155	55	22	71	299	58	27	39	155	54	7	73	35	31	49
Dacrymycetales	63	86	20	7	34	19	119	29	105	15	14	24	32	17	6	8	63	33	9	8	26	12	1	14	19	4	12
Agaricostilbales	6	14	2	1	4	3	15	0	16	3	1	7	1	1	1	23	55	8	3	1	1	0	0	7	0	1	4
Microbotryales	18	38	7	6	5	12	39	4	75	12	2	11	18	4	9	7	66	8	4	11	18	1	2	9	2	25	6
Leucosporidiales	17	53	12	6	22	5	68	9	43	12	8	10	10	6	10	5	53	35	7	6	25	3	0	9	1	3	9
Sporidiobolales	121	269	49	32	141	107	534	76	362	38	18	94	104	56	58	21	248	225	44	89	113	58	5	12	8	15	56
Kriegeriales	5	5	1	0	6	3	24	1	23	1	0	6	3	5	3	0	9	13	1	2	7	3	0	0	1	2	2
Pucciniales	6356	7565	2640	1568	3858	2975	5240	3035	6525	3944	997	880	4662	2165	892	1635	6341	1043	1557	606	3685	1190	695	1482	821	1828	1826
Cystobasidiales	134	68	19	14	30	13	95	19	57	8	3	9	65	6	10	3	46	8	2	10	33	10	2	2	1	6	8
Erythrobasidiales	127	72	14	7	30	15	90	24	67	33	16	24	89	10	16	11	80	24	12	8	17	13	2	21	4	5	11
Mixiales	5	4	1	1	4	0	8	9	17	1	0	2	3	8	2	1	1	0	0	2	1	0	0	1	0	0	0
Ustilaginales	149	386	64	36	225	125	912	140	571	82	28	143	205	63	54	63	436	278	63	62	146	63	16	54	19	68	49
Violaceomycetales	18	29	10	3	34	11	95	10	93	5	3	13	9	21	33	8	47	39	46	6	13	2	1	7	25	3	14
Exobasidiales	40	142	34	21	70	49	167	36	124	25	20	12	23	42	12	33	146	25	15	12	21	14	7	13	4	9	37
Entylomatales	12	41	9	5	13	6	41	2	52	5	3	7	8	2	4	17	79	24	0	6	7	1	0	2	1	1	4
Tilletiales	41	128	32	12	45	50	124	20	149	25	26	30	54	19	17	26	146	65	19	20	45	18	1	25	12	9	34
Microstromatales	13	29	11	2	9	12	28	14	31	5	1	4	7	3	1	1	46	18	14	5	19	9	1	1	1	2	14
Ceraceosorales	12	40	7	5	21	15	66	13	39	7	9	12	8	5	3	20	55	16	9	5	16	5	2	10	2	1	11
Golubeviales	7	34	15	7	14	5	33	22	40	24	14	8	11	7	5	2	36	10	12	4	16	5	10	7	1	1	6
Malasseziales	65	217	58	19	42	49	289	40	239	23	24	76	43	18	24	19	232	133	27	34	84	17	13	7	29	33	34
Wallemiales	6	39	10	4	5	6	13	97	32	5	3	8	5	2	9	5	16	7	12	4	13	8	1	6	4	6	6
Geminibasidiales	3	24	2	4	11	14	26	18	43	9	0	7	3	5	6	0	18	16	7	3	12	6	0	1	1	2	1
Thiotrichales	2782	1330	303	167	428	284	1082	208	996	273	118	115	1683	195	82	224	1554	159	122	93	437	152	50	111	112	249	139
Pseudomonadales	39265	98364	14151	18996	30502	25719	73934	42562	88475	51354	26293	19127	21824	14916	7268	40874	105518	10875	7829	4512	48409	6129	3554	17375	17722	8219	15523
Enterobacterales	66883	970905	310487	126431	20006	17545	75251	174695	47209	21690	59114	107013	33367	15028	33709	14642	81279	75081	40616	8028	10255	3313	3548	15981	38478	6582	25861
Legionellales	1730	971	226	151	294	217	721	184	677	152	61	92	1048	136	78	159	905	99	105	75	287	70	38	69	71	212	125
Chromatiales	1350	891	201	96	336	197	1246	178	858	144	55	325	891	95	95	137	1225	434	92	176	234	71	22	48	21	136	104
Xanthomonadales	929	2270	444	169	675	475	3425	546	7162	491	550	1123	668	361	1270	239	2649	2481	1588	422	635	175	51	95	51	144	805
Cardiobacteriales	9	66	8	3	11	4	46	13	31	18	2	15	23	8	4	5	75	20	6	3	6	6	1	2	1	1	9
Methylococcales	862	732	174	84	219	187	741	178	660	172	38	120	548	110	52	110	859	160	77	87	179	69	32	75	46	90	128
Oceanospirillales	5606	2783	589	297	860	553	2968	674	2658	673	194	728	3374	373	254	435	4052	862	243	288	705	204	60	251	117	419	333
Alteromonadales	21544	4581	894	588	1149	875	3380	930	3804	801	314	565	12710	593	335	1023	7556	700	420	391	908	286	144	385	212	1259	535
Vibrionales	18014	3751	810	439	849	733	2106	639	2559	647	239	367	10801	426	237	834	5988	400	330	256	816	272	115	245	158	1073	417
Aeromonadales	492071	97629	13679	17294	89796	48836	133638	148310	27956	152142	3267	2321	308161	922	348	7638	31039	681	461	633	7773	360	984	3828	383	66551	25182
Pasteurellales	20216	32912	4020	2813	1682	1001	4524	2053	5110	2498	917	222	12721	658	124	2516	23758	160	172	145	939	95	270	836	5880	537	1171
Salinisphaerales	4	26	9	2	7	2	28	7	27	2	3	4	5	1	1	1	20	6	1	2	7	0	2	4	0	1	3
Orbales	1319	253	68	36	352	53	511	30	3379	175	117	16	827	126	156	511	1087	104	1284	17	40	39	13	107	5	101	32
Acidiferrobacterales	1	5	2	1	3	1	17	4	11	0	1	6	1	1	2	1	11	5	0	5	1	1	0	0	0	0	2
Cellvibrionales	1123	882	221	118	261	203	912	245	828	160	73	218	706	81	114	138	1068	280	97	154	266	83	17	77	29	83	132
Nevskiales	278	205	31	23	52	35	297	52	241	26	14	77	199	12	42	19	338	91	27	50	58	14	4	1	4	18	13
Rhizobiales	5457	11483	2314	1236	5281	4060	18432	7861	21451	9614	2173	4561	3882	4342	2832	3459	18267	7317	3314	2519	8307	2639	849	3907	970	1492	3071
Rickettsiales	465	527	166	75	166	129	256	168	329	140	45	45	369	116	46	78	456	53	72	38	164	60	11	26	17	136	68
Pelagibacterales	235	175	69	29	64	56	74	98	169	66	24	26	187	43	14	47	250	12	23	12	45	18	12	26	11	20	49
Rhodospirillales	2014	8481	1322	835	1194	887	5369	1363	4014	680	484	2987	1667	404	487	688	8926	2078	353	627	1458	313	96	155	123	130	587
Rhodobacterales	1903	4433	852	450	1066	960	5252	958	4180	733	237	1677	1420	581	493	468	5112	2363	456	745	1100	350	91	208	120	275	583
Sphingomonadales	851	2229	471	229	722	405	3662	680	2352	314	192	987	708	322	337	272	3262	1488	248	376	636	173	62	125	101	99	371
Caulobacterales	140	557	123	63	176	129	964	137	705	91	47	363	118	68	91	59	724	526	62	114	128	54	8	28	14	25	99
Parvularculales	9	68	16	9	32	9	104	19	58	6	10	42	22	2	3	5	62	21	6	5	12	3	4	11	1	7	9
Kordiimonadales	6	30	6	3	12	9	36	14	29	4	1	6	9	4	3	3	27	11	9	5	9	3	1	0	1	0	8
Sneathiellales	58	39	2	3	6	8	11	3	23	9	0	3	36	1	4	3	40	7	3	8	5	1	0	11	0	2	0
Kiloniellales	12	32	6	3	7	5	39	3	26	2	2	11	9	2	3	8	27	16	1	1	5	2	1	0	0	4	3
Magnetococcales	26	136	33	9	28	20	103	14	54	11	15	24	21	7	9	3	70	27	8	10	41	11	4	4	5	6	6
Rhodothalassiales	2	4	6	2	2	2	14	1	9	0	0	3	0	0	0	2	11	4	0	1	2	0	1	0	0	0	1
Holosporales	138	142	48	24	59	30	123	32	131	22	7	7	71	14	16	21	121	18	28	7	61	11	9	10	5	15	4
Emcibacterales	5	37	8	10	7	1	26	3	28	5	1	9	10	8	5	2	42	14	1	2	5	3	1	0	1	3	4
Minwuiales	3	4	2	0	3	2	17	4	4	5	1	14	3	2	0	2	22	9	0	1	1	0	1	0	0	0	1
Nitrosomonadales	1069	1204	291	173	243	280	991	291	1086	229	120	299	700	172	111	168	1372	357	108	159	353	103	35	85	47	98	183
Burkholderiales	4958	10680	2175	1093	2957	1745	15484	2449	12996	2705	764	5717	3691	1388	1285	1171	19339	6072	1077	1537	2873	799	258	633	423	541	2616
Neisseriales	2316	3216	616	362	511	284	1827	1651	1748	279	153	384	1441	337	194	263	2233	628	427	191	434	115	55	104	2593	140	336
Rhodocyclales	1603	4689	1424	1050	2952	1481	5155	1192	5033	5431	2050	807	532	372	289	1033	2082	728	292	218	5543	141	148	701	2701	334	1038
Mariprofundales	16	66	14	9	13	8	53	9	32	11	0	10	22	7	4	4	84	45	4	1	34	6	0	0	4	1	10
Bdellovibrionales	407	441	104	58	124	94	294	110	451	209	42	64	271	98	65	50	458	118	68	53	190	56	14	44	24	29	60
Oligoflexales	18	67	14	6	12	12	58	7	54	6	3	13	17	4	5	10	89	23	3	12	17	13	2	11	0	2	9
Silvanigrellales	88	78	21	14	16	22	23	59	28	19	6	3	64	15	6	11	71	1	4	2	17	4	1	12	3	4	13
Bacteriovoracales	299	348	76	34	132	90	375	94	280	88	35	23	191	66	23	50	217	38	46	33	133	17	11	33	16	57	37
Acidithiobacillales	23	98	22	7	43	20	139	19	73	15	15	22	17	14	12	18	101	43	9	7	33	18	5	7	3	7	10
Hydrogenophilales	60	84	13	5	27	15	139	16	123	10	0	38	32	14	13	17	108	51	6	30	23	8	3	5	2	3	14
Myxococcales	311	1399	303	135	608	462	2867	293	1439	171	73	626	317	172	256	154	1776	1118	210	272	468	231	57	53	57	64	190
Desulfuromonadales	258	996	195	78	399	297	1608	285	1204	173	64	413	291	141	128	120	1223	544	154	194	364	108	45	68	45	105	205
Desulfurellales	13	34	16	6	14	5	19	8	22	14	2	2	13	5	2	12	41	4	2	0	6	4	1	2	2	1	3
Desulfovibrionales	1067	4528	926	474	1279	1145	9900	4598	3474	1810	286	6776	1093	1265	770	254	4332	5157	558	1174	2187	748	100	136	388	146	2062
Desulfobacterales	912	1627	367	197	508	572	1885	490	1739	348	121	521	658	312	186	209	1647	658	211	268	614	181	53	101	86	165	307
Syntrophobacterales	348	826	185	95	356	237	1162	190	857	129	37	273	333	116	128	51	768	416	148	197	320	124	31	47	37	95	156
Desulfarculales	53	109	28	15	31	26	136	14	97	9	10	34	28	17	14	13	84	58	16	21	37	10	5	8	5	5	19
Bradymonadales	20	81	10	19	55	30	260	10	90	16	8	30	25	5	17	19	131	66	12	13	31	39	7	3	3	9	16
Campylobacterales	4306	9361	2422	1268	1657	2669	3010	4667	9679	1487	1403	1268	3328	1534	1169	2046	20666	4459	1426	759	6659	2409	783	526	8328	891	3726
Nautiliales	39	64	15	6	18	23	36	33	96	30	5	6	27	26	7	12	50	11	13	1	41	10	2	10	6	6	37
Fusobacteriales	5963	2984	954	553	1197	1014	2083	924	3183	1381	265	338	5605	725	274	575	2521	318	378	197	1113	266	228	409	215	457	10397
Nitrospirales	340	734	156	106	201	169	797	182	702	104	71	133	246	96	69	106	693	221	94	83	236	55	24	77	39	60	119
Acidobacteriales	333	1089	224	122	424	289	1939	266	1190	206	83	442	298	179	169	127	1437	688	183	230	382	142	41	54	51	65	173
Bryobacterales	131	578	91	52	209	141	984	180	796	91	37	269	147	71	107	57	626	399	78	121	169	61	21	33	26	32	68
Holophagales	28	90	21	5	28	14	136	23	69	10	3	63	28	11	6	11	89	66	13	15	17	8	2	1	3	2	13
Thermoanaerobaculales	3	22	3	4	0	4	15	3	13	2	2	4	1	0	0	4	15	4	2	0	2	0	0	0	0	0	0
Dictyoglomales	9	20	3	6	18	12	20	4	21	11	4	5	9	4	3	6	19	3	2	5	7	6	2	11	0	2	14
Endomicrobiales	266	573	4	6	2	15	15	6	29	14	5	2	21	7	5	2	11	5	5	6	18	1	3	4	3	5	3
Elusimicrobiales	6538	21874	5227	2632	164	419	348	1204	2332	75	510	46	3388	227	105	49	575	153	103	36	163	113	9	44	282	72	43
Aquificales	106	140	37	26	47	34	93	44	154	38	21	13	82	28	12	22	135	17	15	8	55	9	2	18	23	8	33
Desulfurobacteriales	27	56	16	4	21	19	61	10	38	15	3	8	25	6	9	5	43	11	11	9	16	10	2	3	27	5	15
Thermotogales	162	385	92	51	118	125	289	109	429	120	23	61	153	83	56	34	394	86	73	58	180	36	20	26	22	37	70
Kosmotogales	36	77	17	10	42	9	80	21	64	11	9	8	35	10	7	10	71	8	11	10	23	11	6	11	17	20	6
Petrotogales	194	284	97	51	95	115	142	63	261	119	59	28	174	47	16	48	187	18	27	32	183	30	26	43	18	70	48
Mesoaciditogales	13	28	12	7	14	7	36	5	23	13	0	16	12	5	6	8	32	10	7	1	5	1	1	0	3	9	124
Deferribacterales	160	300	100	58	74	116	198	111	237	101	27	40	133	49	27	55	273	37	41	41	86	36	17	52	34	42	43
Chrysiogenales	2	17	6	2	4	9	32	9	19	3	2	4	9	5	6	3	40	15	7	11	14	2	4	1	4	4	7
Thermodesulfobacteriales	85	59	17	11	19	12	41	21	35	16	4	18	48	15	3	5	47	10	5	9	24	11	7	12	6	12	18
Spirochaetales	81558	552382	86895	66906	159631	27675	270709	104257	102902	2677	10241	7899	80803	13597	4587	16697	222916	4925	5392	15417	45185	3609	75307	1465	72733	260812	427168
Brachyspirales	36811	104654	54681	20233	9816	31413	8405	4428	35760	83199	36629	2025	53079	7579	6238	17181	103738	2736	9514	3264	82043	13112	7115	5860	8176	5171	71936
Leptospirales	186	368	116	69	226	184	519	162	402	202	43	70	152	101	64	63	399	99	77	67	153	51	16	41	36	40	65
Synergistales	252	695	153	70	145	153	732	115	826	115	63	186	185	82	75	36	592	285	70	81	168	49	19	20	42	51	59
Calditrichales	53	29	4	4	10	7	44	11	29	4	1	7	34	8	5	8	40	10	4	2	30	1	1	1	2	6	6
Coprothermobacterales	2	6	0	0	0	0	2	1	1	0	0	1	0	0	0	0	3	6	6	1	6	1	0	0	0	0	0
Chthoniobacterales	7	37	7	7	9	12	61	9	58	3	0	13	16	3	2	4	30	14	4	7	15	2	0	12	0	0	6
Verrucomicrobiales	753	1616	333	160	541	638	2240	750	1735	336	119	504	629	252	231	158	1964	743	212	321	410	311	28	167	97	123	257
Opitutales	110	313	53	23	86	107	371	92	332	43	19	103	111	47	42	59	366	176	35	66	88	35	13	41	9	13	59
Puniceicoccales	10	13	1	1	18	5	70	4	21	4	1	6	8	3	5	2	17	13	3	4	9	3	1	0	0	1	3
Methylacidiphilales	17	52	17	6	20	13	46	9	54	20	4	3	23	20	10	8	46	13	11	14	18	4	3	5	5	3	7
Planctomycetales	414	780	149	82	388	305	1414	168	640	122	51	223	343	96	88	109	893	329	101	208	243	100	21	52	27	50	148
Pirellulales	69	195	50	23	82	75	267	68	259	34	27	64	53	45	33	36	208	44	22	57	55	24	6	29	14	28	44
Gemmatales	43	137	28	11	63	56	311	33	175	36	11	72	36	34	39	17	150	96	27	34	27	8	3	7	8	3	22
Isosphaerales	12	75	11	6	36	21	162	15	108	13	9	25	22	10	10	12	91	49	4	13	20	7	6	6	1	14	9
Phycisphaerales	123	398	91	33	134	134	563	145	474	82	31	147	122	65	68	55	592	241	41	85	135	38	10	49	33	13	74
