SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Chloroflexia	50	220	50	21	79	47	330	65	177	49	15	67	35	31	31	22	239	109	25	41	75	21	5	21	19	6	32
Thermomicrobia	4	29	3	3	4	4	37	8	25	1	4	7	2	2	4	1	18	26	5	4	7	5	0	0	0	1	5
Anaerolineae	476	1298	252	141	426	350	1669	330	1420	302	82	431	365	203	178	131	1282	566	171	253	443	114	46	70	63	83	204
Dehalococcoidia	239	727	151	88	247	193	1032	167	757	136	43	217	232	132	96	61	628	370	121	129	313	75	36	44	32	57	113
Ktedonobacteria	56	125	21	19	76	55	211	53	165	43	17	37	31	30	25	11	185	41	25	19	54	23	7	14	8	8	24
Caldilineae	14	50	12	4	20	17	62	21	47	8	3	49	12	5	12	6	82	37	5	19	14	2	1	0	4	1	9
Ardenticatenia	3	20	3	1	7	7	16	5	24	2	0	13	2	1	2	2	22	5	3	4	8	1	1	0	0	2	3
Thermoflexia	3	12	2	0	6	7	27	2	24	0	0	4	4	3	3	1	15	7	1	6	5	0	0	0	0	0	3
Actinobacteria (1760)	8948	36627	5924	5102	8947	7213	45456	6741	30977	4584	2189	13759	9386	3314	4026	2688	32685	24268	3139	6461	7279	2207	1541	1118	1700	2736	5726
Acidimicrobiia	315	699	159	83	288	199	1460	238	1006	152	65	391	242	128	157	108	969	559	104	137	243	112	21	63	27	56	171
Rubrobacteria	17	31	4	6	8	14	93	17	55	7	3	35	20	16	21	3	175	60	25	17	11	1	0	0	2	3	6
Coriobacteriia	2402	36830	9079	3757	36980	5110	283815	21617	59991	13975	2774	35953	3416	6747	9676	4141	54853	70155	8150	8855	8395	5589	363	2350	820	407	4544
Nitriliruptoria	18	61	8	10	13	12	84	11	74	3	7	19	19	8	14	2	74	59	5	11	9	5	1	0	1	2	2
Thermoleophilia	36	141	24	12	23	26	183	34	205	18	15	81	30	20	22	16	199	148	13	20	37	5	3	4	2	1	20
Mollicutes	14195	44580	16765	9106	5979	1928	6044	2176	4121	1635	1831	1717	11626	5856	2551	1597	9027	1180	4048	490	9849	517	153	440	580	529	14048
Nitrospinia	44	115	23	4	29	26	126	33	80	17	6	35	40	12	3	25	72	32	8	23	27	4	4	11	7	15	22
Caldisericia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
Candidatus Cryosericia	3	36	2	4	5	4	63	2	9	1	2	3	3	3	1	2	8	5	2	3	6	2	0	0	1	1	3
Candidatus Peribacteria	10	72	19	6	16	14	60	7	61	8	4	17	14	10	12	19	154	27	11	6	24	2	1	10	3	7	13
Flavobacteriia	11596	14284	3776	2148	7625	6043	16410	5474	16465	6333	2233	2433	7622	4693	2466	3647	16647	3208	3460	2435	6103	2326	1145	2597	1364	2925	3716
Sphingobacteriia	2359	3707	870	455	1810	1631	4578	1381	5124	1478	574	847	1611	1205	669	1420	5906	947	903	710	1606	618	260	723	409	636	934
Bacteroidia	1799620	5932396	1074389	695998	2496804	1761442	6465873	3286245	9902611	4525766	1652917	1301854	977110	1258568	596646	2869524	7956099	955819	712104	530506	2758950	458680	199194	1713918	1444461	397086	873703
Cytophagia	2439	4902	1125	586	2548	1883	7101	1758	5953	1660	758	1159	1757	1311	920	1174	6593	1566	1123	998	2013	784	282	825	451	620	1036
Chitinophagia	1677	2310	543	296	1213	896	3593	877	3162	782	325	542	1062	593	448	580	3122	761	509	492	1152	427	127	370	174	329	541
Saprospiria	224	355	94	47	396	218	1162	192	627	158	94	121	173	111	61	120	633	146	92	120	185	86	27	63	72	44	117
Chlorobia	97	282	46	37	111	99	348	94	287	60	25	55	82	31	44	35	324	99	54	44	106	42	10	28	29	28	53
Ignavibacteria	449	846	242	132	415	322	859	228	803	328	134	162	367	191	120	144	911	197	167	114	389	94	64	95	52	181	262
Rhodothermia	20	47	12	7	38	19	143	25	81	11	9	23	13	10	16	9	62	30	13	26	36	19	1	3	2	4	7
Balneolia	93	131	16	10	44	58	115	21	187	44	7	12	55	27	15	22	218	17	16	17	44	17	4	10	10	19	30
Gloeobacteria	3	25	8	4	8	7	53	5	37	4	5	25	5	2	9	3	55	19	8	11	12	3	0	2	1	1	5
Candidatus Riflemargulisbacteria	36	67	24	5	26	50	39	13	56	16	7	2	42	4	5	6	27	4	5	26	25	22	7	3	1	4	12
Candidatus Sericytochromatia	3	17	0	3	8	2	28	5	11	2	3	4	1	3	2	0	11	13	3	3	3	1	0	0	0	0	1
Candidatus Babeliae	5	11	3	2	28	10	22	0	11	7	2	3	9	2	1	1	16	0	2	3	6	2	0	2	1	0	4
Thermococci	104	131	25	21	45	69	149	37	164	22	16	33	73	25	32	20	136	43	26	27	42	22	3	6	2	7	22
Archaeoglobi	29	48	19	5	37	41	73	27	145	14	5	13	15	9	13	7	81	21	14	10	25	13	11	10	2	5	8
Methanopyri	2	0	0	0	1	1	3	1	2	2	0	3	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1
Hadesarchaea	1	8	0	0	0	8	1	4	11	1	2	1	0	0	1	0	3	4	4	3	3	1	0	1	0	0	0
Candidatus Methanoliparia	3	7	1	0	0	0	7	2	3	2	0	4	3	1	0	0	4	2	0	0	1	2	1	5	1	0	0
Methanobacteria	8645	12364	4287	1987	4325	11633	5770	2792	24434	501	594	314	15473	4440	3161	312	4450	2331	5388	2671	3422	1715	2591	300	374	1436	3099
Methanococci	205	145	46	29	40	49	56	112	97	43	6	15	126	30	12	18	52	9	22	8	59	10	20	40	18	21	29
Thermoplasmata	8411	27308	4910	2284	919	4221	4201	169	36889	266	774	1147	8791	3721	3660	343	18319	13670	2641	5569	1213	179	21	21	597	450	2825
Candidatus Poseidoniia	390	444	130	48	139	175	397	123	522	107	41	60	267	99	53	80	429	113	82	48	161	57	15	42	18	127	90
Halobacteria	390	905	191	115	453	299	1962	282	1192	175	75	492	343	107	147	84	1216	896	115	211	260	98	37	46	25	29	168
Methanomicrobia	661	1387	293	162	438	597	1394	336	1788	275	107	1186	526	241	200	143	1219	449	241	282	415	185	51	117	71	203	319
Candidatus Methanofastidiosa	5	0	4	0	2	3	7	5	3	2	0	1	5	0	1	0	8	0	3	0	1	0	0	1	0	0	0
Nanohaloarchaea	3	3	2	4	1	4	7	1	9	0	1	3	1	0	0	0	8	5	4	1	1	0	0	1	0	0	2
Thermoprotei	191	277	92	44	135	131	393	119	234	99	17	35	99	58	40	55	248	63	42	27	74	26	17	12	17	19	41
Nitrososphaeria	35	101	31	18	31	17	92	38	64	84	9	15	26	18	8	9	82	19	20	16	57	11	3	8	16	5	18
Candidatus Methanomethylia	0	10	2	0	1	1	1	1	5	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1
