SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Alphabaculovirus	12	14	4	0	3	5	9	5	7	3	2	3	3	0	7	2	16	6	6	2	8	3	4	3	0	0	16
Betabaculovirus	2	0	0	0	0	0	0	1	7	4	0	0	1	0	0	0	3	0	0	0	1	4	0	0	0	0	3
Gammabaculovirus	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphafusellovirus	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichnovirus	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bracovirus	0	1	0	0	1	0	1	0	0	2	0	0	1	3	0	0	2	0	1	0	0	0	0	0	0	0	3
unclassified Iridoviridae	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ranavirus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Lymphocystivirus	2	1	0	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Iridovirus	0	3	0	0	0	1	2	0	2	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0
Chloriridovirus	1	4	0	0	1	2	1	0	7	0	1	0	3	0	0	1	0	0	1	0	5	0	0	0	0	0	3
Chlorovirus	3	12	3	1	6	1	4	1	17	7	1	5	2	2	0	4	17	1	1	0	0	0	0	1	2	1	2
Prasinovirus	0	4	0	0	0	0	7	1	3	0	0	0	1	0	0	0	0	4	0	1	6	1	1	0	0	0	0
Phaeovirus	0	0	0	0	3	0	8	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Prymnesiovirus	0	0	0	1	6	1	7	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phycodnaviridae: environmental samples	1	2	1	0	2	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1
Coccolithovirus	0	3	0	0	1	0	0	0	0	5	0	1	2	0	0	2	2	0	0	0	4	0	0	0	0	2	0
unclassified Phycodnaviridae	3	11	1	1	9	1	10	2	8	6	1	0	3	1	5	7	27	5	10	2	9	1	1	2	2	3	2
Raphidovirus	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Mastadenovirus	4	4	0	1	0	7	4	0	3	0	1	7	7	1	1	0	0	1	0	0	4	0	1	0	0	0	0
Aviadenovirus	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Atadenovirus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphatectivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Dependoparvovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Erythroparvovirus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unclassified Densovirinae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mastrevirus	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curtovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Begomovirus	0	0	0	1	0	1	0	1	0	0	1	7	0	2	2	0	6	1	0	0	1	0	1	1	0	0	0
Microvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	4
unclassified Gokushovirinae	21	49	5	5	296	3	593	2	149	3	1	0	11	9	7	0	13	9	9	0	8	2	0	0	0	1	0
Alphatrevirus	0	22	0	3	2	1	14	3	25	2	0	2	2	0	3	0	21	0	2	0	4	2	0	1	1	1	0
Gequatrovirus	1	32	5	1	4	0	25	4	27	1	0	3	0	1	1	0	32	5	1	1	2	0	0	0	0	0	0
Sinsheimervirus	208	4780	221	175	659	675	6931	412	7170	146	76	314	166	142	315	131	6109	305	110	90	221	18	10	254	37	84	132
unclassified Inoviridae	1	7	4	1	0	0	0	13	61	3	1	1	1	2	0	1	12	2	1	1	3	0	3	0	1	1	2
Inoviridae: environmental samples	0	58	8	6	0	1	2	13	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myohalovirus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muvirus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unclassified Myoviridae	93	799	212	48	426	43	1194	320	925	180	12	11	92	49	34	3344	9022	23	37	20	95	24813	49	16	12	13	21
Bixzunavirus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Phikzvirus	1	13	0	1	0	0	1	4	3	1	2	0	2	0	0	6	52	0	0	0	0	0	0	2	0	0	5
Vidavervirus	1	19	4	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0
Bcepmuvirus	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Pbunavirus	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Biquartavirus	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Obolenskvirus	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0
Jilinvirus	0	37	11	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	2
Pakpunavirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Kleczkowskavirus	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tegunavirus	0	5	3	0	0	0	1	0	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Nankokuvirus	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mieseafarmvirus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chiangmaivirus	1	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0
Seoulvirus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marthavirus	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Emdodecavirus	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abouovirus	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agricanvirus	6	16	4	1	0	1	3	0	6	2	0	1	6	2	0	1	0	2	1	8	0	0	0	3	0	1	4
Elvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Erskinevirus	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Machinavirus	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svunavirus	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcyoneusvirus	1	2	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphroditevirus	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Asteriusvirus	2	6	2	0	0	0	0	1	1	5	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Busanvirus	0	0	0	0	2	0	6	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Chakrabartyvirus	0	4	0	1	0	0	0	0	0	2	1	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
Eneladusvirus	3	2	0	1	1	0	0	13	7	2	0	0	0	1	0	0	1	0	0	1	3	0	0	1	0	0	0
Ficleduovirus	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iapetusvirus	0	19	4	1	0	0	0	0	2	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ionavirus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jedunavirus	0	11514	3367	1481	0	2	12	2451	3	0	306	0	0	0	11	1	1	0	0	0	0	0	8	0	0	0	1
Metrivirus	0	1	0	0	1	1	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Noxifervirus	0	3	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Peatvirus	0	693	197	83	0	0	1	185	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Polybotosvirus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ripduovirus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Risingsunvirus	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0
Thornevirus	2	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tulanevirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Winklervirus	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
unclassified Peduovirinae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tequatrovirus	1	562	126	41	1	5	1	1	6	2674	12	191	2	0	1	0	5	4	17	0	1	3	0	1	0	0	2
Schizotequatrovirus	1	2	0	0	0	1	0	0	8	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
unclassified Tevenvirinae	7	42	12	5	3	53	1583	4	28	6	2	4	5	60	6	0	13	2	4	1	6	1	2	677	1	0	3
Karamvirus	1	0	0	0	0	0	1	2	3	4	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Krischvirus	448	8977	3141	1077	35	2	125	1	1588	0	718	425	215	0	43	1	51	35	317	0	0	0	0	1	4	0	4
Mosigvirus	1	16787	3820	1914	0	2	2	2	1	27	291	11833	0	1	4	1	1	3	0	0	1	0	0	0	1	0	17
Gelderlandvirus	0	9	0	1	0	0	1	0	3	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gaprivervirus	0	31	18	4	0	1	1	23	1	4	4	34	0	0	1	0	0	1	0	0	0	0	0	2	0	2	0
Dhakavirus	1	48	12	7	1	1	3	4	4	5	4	81	0	0	2	1	1	0	0	0	1	1	0	0	0	0	0
Jiaodavirus	0	16	6	2	0	0	10	0	690	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
Slopekvirus	0	1	1	0	1	0	5998	0	0	0	0	0	0	239	0	0	1	0	0	0	0	0	0	1	0	0	0
Moonvirus	1	2	3	0	4	0	6	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firehammervirus	0	0	0	0	4	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Fletchervirus	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Certrevirus	0	9	1	1	0	0	0	1	4	0	0	0	0	0	2	0	0	1	2	1	0	1	0	0	0	2	2
Seunavirus	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Vequintavirus	0	66	13	10	1	0	7	1	1	26	6	0	0	0	0	1	13	0	3	0	2	0	19305	5	0	0	1
unclassified Vequintavirinae	0	4	0	1	0	0	1	0	1	0	0	0	0	1	0	1	5	0	1	0	1	0	16	0	0	0	0
Avunavirus	1	0	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0
Felixounavirus	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0
Suspvirus	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kolesnikvirus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
unclassified Ounavirinae	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ceduovirus	0	14070	8922	4637	6	1	19	164	1	78	3407	0	0	0	75	7	2	0	5	3	1	0	0	0	0	0	5
Fromanvirus	5	10	1	2	0	10	17	4	13	0	1	12	6	0	2	2	14	9	2	1	3	1	0	0	0	0	1
Tequintavirus	0	17	14	3	14	0	86	0	6	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	16
unclassified Siphoviridae	107	586	114	54	282	136	935	371	1612	29	49	133	76	29	60	23	345	113	71	24	56	128	21	38	26	6	30
Lomovskayavirus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yuavirus	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0
Biseptimavirus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andromedavirus	3	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bronvirus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Cheoctovirus	0	3	0	0	0	2	0	0	1	0	0	0	1	3	0	1	5	0	0	0	5	0	0	0	0	0	0
Chenonavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Chivirus	0	3	0	0	0	1	0	1	10	1	0	3	0	0	0	0	0	0	0	4	3	0	0	0	0	0	1
Kostyavirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corndogvirus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casadabanvirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liefievirus	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Dhillonvirus	0	650	172	67	0	0	3	0	0	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oshimavirus	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phicbkvirus	0	1	0	0	0	0	3	0	2	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	0	1	0
Stanholtvirus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phietavirus	0	5	0	2	1	0	4	0	14	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0
Coetzeevirus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saphexavirus	0	4	1	0	2	0	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Brussowvirus	0	0	0	0	1	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0
Moineauvirus	0	33	5	3	1	1	2	10	1	1	2	0	1	0	0	0	1	0	0	0	1	0	3	0	19	1	0
Skunavirus	0	154	91	43	0	0	1	0	0	0	32	0	0	3	0	0	1	0	0	0	1	0	0	2	0	0	0
Timquatrovirus	4	4	1	0	1	0	8	3	6	3	0	3	2	0	0	0	5	6	0	1	9	2	1	0	0	0	2
Xipdecavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cequinquevirus	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Helsingorvirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	29	0	0	0	0	0	0	0	0	0	0
Cbastvirus	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonagvirus	0	15	9	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonanavirus	2	10012	4133	1372	0	3	8	0	1	3	371	0	2	0	11	1	1	0	0	0	0	0	0	0	0	0	3
Homburgvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Septimatrevirus	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seuratvirus	0	793	441	106	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sitaravirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Mardecavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
Slashvirus	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sextaecvirus	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Korravirus	0	3	1	0	0	0	0	0	0	1	0	2	0	1	0	0	4	2	0	0	0	0	0	0	0	0	0
Laroyevirus	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mudcatvirus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demosthenesvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gordonvirus	2	1	0	0	3	1	3	2	3	0	0	5	4	0	0	0	0	0	0	1	3	3	0	0	0	0	0
Jenstvirus	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Steinhofvirus	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kelleziovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Incheonvrus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Inhavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pahexavirus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pamexvirus	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
Pepyhexavirus	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roufvirus	0	197	64	30	0	1	3	3	1	0	28	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Smoothievirus	0	0	0	0	1	1	0	1	9	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Soupsvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tinduovirus	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Titanvirus	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Woodruffvirus	0	2	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Woesvirus	2	0	1	0	6	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
Vendettavirus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae: environmental samples	21	29	8	4	4	7	8	2	9	2	5	4	36	7	4	1	5	1	2	1	31	2	8	16	13	1	5
Attisvirus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doucettevirus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hendrixvirus	0	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wizardvirus	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Bingvirus	0	1	0	1	0	0	4	0	5	0	1	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	1
Cetovirus	2	34	3	5	1	0	0	0	1	1	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cinunavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Efquatrovirus	1	2	0	0	0	0	0	4	6	0	0	2	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Elerivirus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
Emalynvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
Galaxyvirus	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gesputvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	2	0	0	0	0	0
Gustavvirus	0	0	0	0	1	1	0	0	4	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1
Ilzatvirus	1	0	1	0	0	0	0	0	2	0	0	1	0	0	3	0	1	14	6	0	0	0	0	0	0	0	0
Jesfedecavirus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kojivirus	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Lacusarxvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0
Myunavirus	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nanhaivirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nickievirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosibvirus	50	4	4	0	1	0	4	0	47	0	0	0	22	0	0	1	13	2	8	0	1	0	0	0	0	0	0
Nyceiraevirus	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pikminvirus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rimavirus	1	1	1	1	0	0	3	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0
Samistivirus	0	4	0	1	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scapunavirus	3	3	1	0	0	1	0	0	3	0	0	7	3	0	0	0	5	2	0	0	4	2	0	0	0	0	0
Sourvirus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Sugarlandvirus	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Vividuovirus	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Weaselvirus	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilnyevirus	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jerseyvirus	0	462	125	49	0	1	0	1	0	1	63	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
Kagunavirus	2	3370	880	388	1	0	4	1	0	0	546	0	2	0	11	2	0	0	1	0	0	0	0	0	0	0	0
Cornellvirus	0	4	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tunavirus	0	2	0	0	23	1	118	0	48	2	0	0	0	0	0	0	1	0	0	0	1	10	1	3	0	0	0
