SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Candidatus Saccharibacteria	536	604	143	90	223	144	612	123	771	117	30	68	464	84	131	49	595	158	131	88	308	82	56	31	14	66	72
Candidatus Sumerlaeota	16	21	4	0	15	28	50	6	24	3	4	8	10	16	1	3	18	5	1	10	7	3	0	0	0	2	11
Candidatus Poribacteria	164	318	65	52	141	76	278	66	177	176	23	51	118	58	27	37	264	45	31	48	85	31	10	26	22	64	55
candidate division WWE3	58	169	46	21	22	41	95	37	112	52	7	24	56	38	10	13	117	24	13	7	55	43	9	8	4	13	25
candidate division NC10	4	13	2	3	8	0	23	2	8	1	0	9	9	4	2	4	15	15	3	1	7	7	0	3	1	0	6
Candidatus Calescamantes	2	8	0	2	0	3	1	1	10	3	0	1	0	3	0	0	2	0	5	0	2	1	0	0	0	1	1
Candidatus Berkelbacteria	38	118	24	24	28	63	88	36	84	39	19	17	29	28	12	50	192	9	10	7	36	18	2	12	15	2	20
candidate division CPR1	5	0	1	0	2	4	31	2	1	1	1	0	3	0	1	0	1	0	1	0	0	0	0	0	0	1	2
candidate division CPR2	4	8	2	0	3	3	4	1	15	14	1	3	3	1	2	3	4	0	2	2	1	0	3	4	0	0	1
candidate division CPR3	16	15	4	0	4	0	5	7	13	6	0	1	10	0	2	1	11	2	0	3	9	0	0	3	0	2	5
Candidatus Peregrinibacteria	83	228	80	32	76	69	250	63	217	45	22	42	97	57	40	37	290	109	47	36	86	16	22	25	13	29	92
candidate division WOR-3	47	92	54	16	43	34	105	43	191	36	9	33	58	29	18	20	123	40	21	22	60	13	5	8	8	8	24
Candidatus Rokubacteria	61	326	64	28	106	75	607	79	422	40	22	227	67	41	57	26	438	332	35	88	103	23	6	13	8	5	50
Candidatus Dadabacteria	51	76	21	12	39	62	73	38	93	20	5	35	38	26	7	9	90	15	21	26	57	15	8	8	3	7	21
Candidatus Abawacabacteria	2	1	0	0	0	0	3	0	3	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1
Candidatus Coatesbacteria	3	10	3	1	2	3	8	5	5	1	0	10	3	7	0	1	7	3	1	2	0	2	0	0	0	1	0
Candidatus Delongbacteria	9	26	7	3	6	11	26	3	29	2	3	1	8	6	6	7	26	5	6	3	13	2	1	2	0	1	2
Candidatus Doudnabacteria	14	47	14	6	13	18	22	14	47	9	3	13	21	2	6	3	38	17	1	6	15	2	3	2	9	3	2
Candidatus Edwardsbacteria	0	6	2	0	1	1	7	1	4	1	1	2	2	2	2	3	2	4	2	0	2	0	0	0	0	0	1
Candidatus Eisenbacteria	25	59	23	4	24	36	96	13	85	16	8	38	34	19	8	8	108	84	6	16	20	2	1	3	1	4	10
Candidatus Firestonebacteria	40	71	29	9	29	15	63	18	85	33	12	11	24	18	9	10	110	23	10	6	38	17	0	4	1	10	10
Candidatus Fischerbacteria	11	14	5	2	9	8	14	7	28	9	2	4	17	18	1	4	34	6	8	1	8	1	1	2	0	0	9
Candidatus Fraserbacteria	2	1	1	1	0	0	6	0	7	1	0	0	1	0	1	0	11	8	10	0	0	1	0	1	0	0	0
Candidatus Glassbacteria	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	1	1
Candidatus Handelsmanbacteria	3	14	3	0	8	5	36	2	26	3	1	14	2	0	11	0	32	50	1	3	3	4	0	0	0	0	7
Candidatus Lindowbacteria	7	15	5	1	4	1	24	4	12	0	1	9	3	8	4	1	19	10	0	7	4	1	0	0	1	1	2
Candidatus Raymondbacteria	13	47	15	5	13	6	49	2	27	6	2	12	10	8	1	0	22	14	1	4	13	9	1	0	0	7	4
Candidatus Riflebacteria	16	34	7	1	11	8	44	21	67	16	6	10	14	18	12	2	36	16	7	4	10	7	1	2	2	4	5
Candidatus Schekmanbacteria	54	139	49	25	23	35	40	38	81	28	22	15	36	31	8	10	60	9	16	5	22	16	2	6	10	4	12
Candidatus Wallbacteria	16	37	5	3	18	16	72	21	90	15	3	19	19	3	7	10	78	11	4	6	21	4	3	2	5	12	10
Candidatus Wirthbacteria	4	26	5	2	0	5	7	2	62	2	1	3	3	0	1	0	2	5	2	0	0	0	0	0	0	1	0
Candidatus Desantisbacteria	22	223	14	7	16	10	30	9	43	14	8	6	30	8	4	6	66	14	19	8	25	6	0	4	3	5	12
Candidatus Goldbacteria	87	22	0	3	1	5	12	7	10	18	0	3	55	8	1	5	47	4	1	3	12	2	2	0	3	12	0
candidate division FCPU426	25	94	28	7	18	17	69	99	60	18	1	11	26	21	11	14	68	22	8	21	19	7	2	5	3	4	3
Bacteroidetes	1821682	5963642	1082081	700187	2514119	1774899	6514249	3298081	9942125	4538319	1657685	1308292	991850	1268593	602736	2877937	8001493	965235	720157	536920	2774461	464022	201447	1719403	1447370	402568	881655
Chlorobi	115	337	58	44	141	121	396	111	411	85	29	61	108	58	52	43	359	113	63	59	113	47	10	34	32	39	59
Ignavibacteriae	532	1102	289	157	491	389	1135	290	1029	367	163	219	437	224	165	183	1161	279	211	175	470	129	72	125	82	243	300
Candidatus Kapabacteria	9	46	8	2	12	11	50	6	56	8	3	5	14	6	6	3	42	18	8	2	6	0	1	5	1	4	5
Rhodothermaeota	20	47	12	7	38	19	143	25	81	11	9	23	13	10	16	9	62	30	13	26	36	19	1	3	2	4	7
Balneolaeota	166	150	19	16	49	108	125	27	191	56	15	16	112	30	17	24	232	27	17	37	66	17	7	12	11	19	35
Cyanobacteria	7846	6210	1528	826	2833	3619	5942	3770	14913	41352	651	976	6862	2666	1174	2270	8149	1665	1769	678	12299	639	330	697	714	1954	1114
Candidatus Melainabacteria	17200	36556	4274	5267	16261	15613	24933	26973	52227	53709	4767	2189	16484	10640	1754	5009	18052	1494	3037	648	19542	2389	1125	6887	5135	2481	17226
Candidatus Margulisbacteria	48	79	26	8	45	67	95	17	82	25	8	6	56	5	7	8	37	10	10	28	33	30	11	5	1	6	13
Candidatus Gracilibacteria	41	219	71	26	43	30	27	142	136	106	28	3	41	53	5	5	44	8	7	2	55	29	7	9	10	10	15
Candidatus Microgenomates	5	22	2	1	2	2	2	3	2	1	3	2	1	0	0	1	20	2	0	0	0	0	0	1	0	0	1
Candidatus Curtissbacteria	26	84	12	9	15	29	33	70	74	19	1	8	20	8	10	10	60	13	7	10	31	3	1	4	3	12	6
Candidatus Daviesbacteria	56	95	27	14	23	24	56	32	67	15	1	10	31	15	5	11	110	7	7	10	36	6	7	15	3	11	5
Candidatus Levybacteria	83	214	111	69	84	49	169	52	124	77	78	12	48	44	24	16	158	24	22	18	146	15	9	24	8	16	48
Candidatus Gottesmanbacteria	32	58	31	12	25	15	67	41	74	63	5	12	23	13	11	4	56	18	15	10	25	9	5	5	6	8	7
Candidatus Shapirobacteria	39	124	22	19	38	17	93	6	106	12	9	10	22	13	2	23	56	9	4	4	42	11	17	4	3	8	4
Candidatus Woesebacteria	139	179	43	28	85	64	128	31	120	38	14	26	91	60	10	13	99	24	26	8	45	20	3	5	5	11	36
Candidatus Roizmanbacteria	253	275	28	34	62	36	249	48	272	50	41	14	188	43	25	19	191	27	26	18	52	12	19	19	5	22	22
Candidatus Pacebacteria	39	102	22	10	28	28	76	20	92	12	6	11	56	13	10	10	72	8	7	10	21	11	0	10	2	4	7
Candidatus Collierbacteria	18	48	8	6	13	10	90	6	56	4	2	2	10	5	11	5	38	18	8	1	16	21	2	9	2	2	12
Candidatus Beckwithbacteria	6	48	10	8	7	10	18	1	35	9	15	3	10	6	3	7	21	4	12	0	4	1	0	0	3	0	3
Candidatus Amesbacteria	1	15	7	0	8	3	41	3	31	0	1	0	2	15	3	2	7	3	5	2	3	0	0	1	17	0	3
Candidatus Blackburnbacteria	9	10	4	0	4	5	22	5	24	13	0	22	5	15	0	3	19	3	1	0	4	1	0	4	1	1	1
Candidatus Woykebacteria	11	43	4	3	23	11	41	6	47	12	3	3	10	13	2	7	24	18	8	9	40	4	0	1	5	18	7
Candidatus Chisholmbacteria	4	30	8	1	3	5	16	8	41	1	2	6	2	2	2	2	35	8	0	0	4	11	3	9	17	37	3
Candidatus Parcubacteria	42	55	70	10	16	9	18	15	37	17	3	3	24	37	4	9	58	2	5	3	54	32	1	9	6	29	24
Candidatus Campbellbacteria	6	30	18	6	13	4	35	6	32	4	3	7	11	2	0	3	26	2	4	3	5	7	3	8	13	5	9
Candidatus Falkowbacteria	109	181	72	28	54	53	111	41	148	43	14	20	68	42	13	30	141	33	38	16	32	15	7	52	11	15	34
Candidatus Nomurabacteria	278	219	53	36	115	57	163	49	194	117	13	19	222	36	14	87	146	27	17	10	109	64	8	16	8	20	99
Candidatus Magasanikbacteria	155	276	88	59	59	70	144	33	246	56	13	28	106	46	21	27	211	20	31	13	68	19	7	27	13	76	31
Candidatus Uhrbacteria	65	205	60	26	58	31	168	33	144	29	13	19	68	47	14	9	84	67	34	14	60	26	52	13	5	15	24
Candidatus Yanofskybacteria	19	98	27	15	56	40	142	17	90	18	11	26	20	36	9	21	98	11	17	14	35	10	0	14	2	6	23
Candidatus Kaiserbacteria	59	98	31	15	23	31	96	42	113	29	9	17	45	16	18	40	149	25	18	17	37	17	6	14	9	6	16
Candidatus Wolfebacteria	42	50	12	4	13	17	54	105	44	40	2	9	22	23	10	13	49	15	13	14	19	8	6	23	4	6	10
