sample	site	site2
A74	South Africa	Agincourt
A75	South Africa	Agincourt
A76	South Africa	Agincourt
A77	South Africa	Agincourt
A78	South Africa	Agincourt
A79	South Africa	Agincourt
B1	South Africa	Agincourt
B2	South Africa	Agincourt
B3	South Africa	Agincourt
B4	South Africa	Agincourt
B5	South Africa	Agincourt
B6	South Africa	Agincourt
B7	South Africa	Agincourt
B8	South Africa	Agincourt
B9	South Africa	Agincourt
B10	South Africa	Agincourt
B11	South Africa	Agincourt
B12	South Africa	Agincourt
B13	South Africa	Agincourt
B14	South Africa	Agincourt
B15	South Africa	Agincourt
B16	South Africa	Agincourt
B17	South Africa	Agincourt
B18	South Africa	Agincourt
B19	South Africa	Agincourt
B20	South Africa	Agincourt
B21	South Africa	Agincourt
B22	South Africa	Agincourt
B23	South Africa	Agincourt
B24	South Africa	Agincourt
B25	South Africa	Agincourt
B26	South Africa	Agincourt
B27	South Africa	Agincourt
B28	South Africa	Agincourt
B29	South Africa	Agincourt
B30	South Africa	Agincourt
B31	South Africa	Agincourt
B32	South Africa	Agincourt
B33	South Africa	Agincourt
B34	South Africa	Agincourt
B35	South Africa	Agincourt
B36	South Africa	Agincourt
B37	South Africa	Agincourt
B38	South Africa	Agincourt
B39	South Africa	Agincourt
B40	South Africa	Agincourt
B41	South Africa	Agincourt
B42	South Africa	Agincourt
B43	South Africa	Agincourt
B44	South Africa	Agincourt
B45	South Africa	Agincourt
B46	South Africa	Agincourt
B47	South Africa	Agincourt
B48	South Africa	Agincourt
B49	South Africa	Agincourt
B50	South Africa	Agincourt
B51	South Africa	Agincourt
B52	South Africa	Agincourt
B53	South Africa	Agincourt
B54	South Africa	Agincourt
B55	South Africa	Agincourt
B56	South Africa	Agincourt
B57	South Africa	Agincourt
B58	South Africa	Agincourt
B59	South Africa	Agincourt
B60	South Africa	Agincourt
B61	South Africa	Agincourt
B62	South Africa	Agincourt
B63	South Africa	Agincourt
B64	South Africa	Agincourt
B65	South Africa	Agincourt
B66	South Africa	Agincourt
B67	South Africa	Agincourt
B68	South Africa	Agincourt
B69	South Africa	Agincourt
B70	South Africa	Agincourt
B71	South Africa	Agincourt
B72	South Africa	Agincourt
B73	South Africa	Agincourt
B74	South Africa	Agincourt
B75	South Africa	Agincourt
B76	South Africa	Agincourt
B77	South Africa	Agincourt
B78	South Africa	Agincourt
B79	South Africa	Soweto
C1	South Africa	Agincourt
C2	South Africa	Agincourt
C3	South Africa	Agincourt
C4	South Africa	Agincourt
C5	South Africa	Agincourt
C6	South Africa	Agincourt
C7	South Africa	Agincourt
C8	South Africa	Agincourt
C9	South Africa	Agincourt
C10	South Africa	Agincourt
C11	South Africa	Agincourt
C12	South Africa	Agincourt
C13	South Africa	Agincourt
C14	South Africa	Agincourt
C15	South Africa	Agincourt
C16	South Africa	Agincourt
C17	South Africa	Agincourt
C18	South Africa	Agincourt
C19	South Africa	Agincourt
C20	South Africa	Agincourt
C21	South Africa	Agincourt
C22	South Africa	Agincourt
C23	South Africa	Agincourt
C24	South Africa	Agincourt
C25	South Africa	Agincourt
C26	South Africa	Agincourt
C27	South Africa	Agincourt
C28	South Africa	Agincourt
C29	South Africa	Agincourt
C30	South Africa	Agincourt
C31	South Africa	Agincourt
C32	South Africa	Agincourt
C33	South Africa	Agincourt
M0018M_3_months	Finland	Finland
M0038M_3_months	Finland	Finland
M0059M_3_months	Finland	Finland
M0072M_3_months	Finland	Finland
M0073M_3_months	Finland	Finland
M0074M_3_months	Finland	Finland
M0084M_3_months	Finland	Finland
M0201M_3_months	Finland	Finland
M0226M_3_months	Finland	Finland
M0259M_3_months	Finland	Finland
M0261M_3_months	Finland	Finland
M0297M_3_months	Finland	Finland
M0305M_3_months	Finland	Finland
M0327M_3_months	Finland	Finland
M0333M_3_months	Finland	Finland
M0346M_3_months	Finland	Finland
M0353M_3_months	Finland	Finland
M0369M_3_months	Finland	Finland
M0388M_3_months	Finland	Finland
M0399M_3_months	Finland	Finland
M0402M_3_months	Finland	Finland
M0427M_3_months	Finland	Finland
M0450M_3_months	Finland	Finland
M0487M_3_months	Finland	Finland
M0744M_3_months	Finland	Finland
M0764M_3_months	Finland	Finland
M0792M_3_months	Finland	Finland
M0806M_3_months	Finland	Finland
M0808M_3_months	Finland	Finland
M0901M_3_months	Finland	Finland
M1098M_3_months	Finland	Finland
M0018M_Birth	Finland	Finland
M0024M_Birth	Finland	Finland
M0038M_Birth	Finland	Finland
M0053M_Birth	Finland	Finland
M0059M_Birth	Finland	Finland
M0072M_Birth	Finland	Finland
M0073M_Birth	Finland	Finland
M0074M_Birth	Finland	Finland
M0084M_Birth	Finland	Finland
M0108M_Birth	Finland	Finland
M0143M_Birth	Finland	Finland
M0151M_Birth	Finland	Finland
M0157M_Birth	Finland	Finland
M0162M_Birth	Finland	Finland
M0177M_Birth	Finland	Finland
M0201M_Birth	Finland	Finland
M0210M_Birth	Finland	Finland
M0226M_Birth	Finland	Finland
M0240M_Birth	Finland	Finland
M0259M_Birth	Finland	Finland
M0261M_Birth	Finland	Finland
M0275M_Birth	Finland	Finland
M0297M_Birth	Finland	Finland
M0305M_Birth	Finland	Finland
M0327M_Birth	Finland	Finland
M0333M_Birth	Finland	Finland
M0346M_Birth	Finland	Finland
M0353M_Birth	Finland	Finland
M0369M_Birth	Finland	Finland
M0388M_Birth	Finland	Finland
M0399M_Birth	Finland	Finland
M0402M_Birth	Finland	Finland
M0427M_Birth	Finland	Finland
M0450M_Birth	Finland	Finland
M0487M_Birth	Finland	Finland
M0744M_Birth	Finland	Finland
M0764M_Birth	Finland	Finland
M0792M_Birth	Finland	Finland
M0806M_Birth	Finland	Finland
M0808M_Birth	Finland	Finland
M0901M_Birth	Finland	Finland
M1098M_Birth	Finland	Finland
M1172M_Birth	Finland	Finland
M0018M_Gest	Finland	Finland
M0024M_Gest	Finland	Finland
M0038M_Gest	Finland	Finland
M0053M_Gest	Finland	Finland
M0059M_Gest	Finland	Finland
M0072M_Gest	Finland	Finland
M0073M_Gest	Finland	Finland
M0074M_Gest	Finland	Finland
M0084M_Gest	Finland	Finland
M0108M_Gest	Finland	Finland
M0143M_Gest	Finland	Finland
M0151M_Gest	Finland	Finland
M0157M_Gest	Finland	Finland
M0162M_Gest	Finland	Finland
M0177M_Gest	Finland	Finland
M0201M_Gest	Finland	Finland
M0210M_Gest	Finland	Finland
M0226M_Gest	Finland	Finland
M0240M_Gest	Finland	Finland
M0259M_Gest	Finland	Finland
M0261M_Gest	Finland	Finland
M0275M_Gest	Finland	Finland
M0297M_Gest	Finland	Finland
M0305M_Gest	Finland	Finland
M0327M_Gest	Finland	Finland
M0333M_Gest	Finland	Finland
M0346M_Gest	Finland	Finland
M0353M_Gest	Finland	Finland
M0369M_Gest	Finland	Finland
M0388M_Gest	Finland	Finland
M0399M_Gest	Finland	Finland
M0402M_Gest	Finland	Finland
M0427M_Gest	Finland	Finland
M0450M_Gest	Finland	Finland
M0487M_Gest	Finland	Finland
M0744M_Gest	Finland	Finland
M0792M_Gest	Finland	Finland
M0806M_Gest	Finland	Finland
M0808M_Gest	Finland	Finland
M0901M_Gest	Finland	Finland
M1098M_Gest	Finland	Finland
M1172M_Gest	Finland	Finland
1_M	Sweden	Sweden
10_M	Sweden	Sweden
103_M	Sweden	Sweden
105_M	Sweden	Sweden
12_M	Sweden	Sweden
128_M	Sweden	Sweden
130_M	Sweden	Sweden
133_M	Sweden	Sweden
137_M	Sweden	Sweden
150_M	Sweden	Sweden
157_M	Sweden	Sweden
172_M	Sweden	Sweden
179_M	Sweden	Sweden
18_M	Sweden	Sweden
180_M	Sweden	Sweden
181_M	Sweden	Sweden
184_M	Sweden	Sweden
195_M	Sweden	Sweden
201_M	Sweden	Sweden
203_M	Sweden	Sweden
224_M	Sweden	Sweden
229_M	Sweden	Sweden
238_M	Sweden	Sweden
240_M	Sweden	Sweden
241_M	Sweden	Sweden
244_M	Sweden	Sweden
256_M	Sweden	Sweden
258_M	Sweden	Sweden
26_M	Sweden	Sweden
263_M	Sweden	Sweden
265_M	Sweden	Sweden
268_M	Sweden	Sweden
272_M	Sweden	Sweden
274_M	Sweden	Sweden
275_M	Sweden	Sweden
276_M	Sweden	Sweden
281_M	Sweden	Sweden
282_M	Sweden	Sweden
326_M	Sweden	Sweden
332_M	Sweden	Sweden
335_M	Sweden	Sweden
338_M	Sweden	Sweden
341_M	Sweden	Sweden
343_M	Sweden	Sweden
345_M	Sweden	Sweden
350_M	Sweden	Sweden
367_M	Sweden	Sweden
377_M	Sweden	Sweden
38_M	Sweden	Sweden
383_M	Sweden	Sweden
385_M	Sweden	Sweden
387_M	Sweden	Sweden
39_M	Sweden	Sweden
397_M	Sweden	Sweden
42_M	Sweden	Sweden
45_M	Sweden	Sweden
503_M	Sweden	Sweden
504_M	Sweden	Sweden
507_M	Sweden	Sweden
51_M	Sweden	Sweden
511_M	Sweden	Sweden
521_M	Sweden	Sweden
526_M	Sweden	Sweden
527_M	Sweden	Sweden
53_M	Sweden	Sweden
532_M	Sweden	Sweden
536_M	Sweden	Sweden
544_M	Sweden	Sweden
546_M	Sweden	Sweden
549_M	Sweden	Sweden
560_M	Sweden	Sweden
565_M	Sweden	Sweden
566_M	Sweden	Sweden
567_M	Sweden	Sweden
570_M	Sweden	Sweden
572_M	Sweden	Sweden
577_M	Sweden	Sweden
582_M	Sweden	Sweden
585_M	Sweden	Sweden
587_M	Sweden	Sweden
589_M	Sweden	Sweden
590_M	Sweden	Sweden
591_M	Sweden	Sweden
598_M	Sweden	Sweden
599_M	Sweden	Sweden
608_M	Sweden	Sweden
615_M	Sweden	Sweden
622_M	Sweden	Sweden
624_M	Sweden	Sweden
626_M	Sweden	Sweden
633_M	Sweden	Sweden
635_M	Sweden	Sweden
637_M	Sweden	Sweden
640_M	Sweden	Sweden
7_M	Sweden	Sweden
70_M	Sweden	Sweden
78_M	Sweden	Sweden
82_M	Sweden	Sweden
87_M	Sweden	Sweden
9_M	Sweden	Sweden
